stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,14,6,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,14,0,0,13,108,6,2,0,2,0,0,1,11,1,11,33,0,0,4,0,0
 24-34,0.82,0.82,12.31,0.82,0,18.06,0,0.82,1.64,12.31,0,0,0.82,4.1,4.1,0.82,0.82,1.64,0.82,29.55,1.64,0,15.6,224.91,4.93,4.93,5.75,0,0,12.31,0,0,2.46,1.64,59.92,0,0,9.85,0,0
 36-46,0,0,5.64,0,0,33.03,0,0.81,0,14.5,0,0,0,3.22,0,0.81,2.42,0,0.81,34.64,0,3.22,11.28,219.14,0.81,2.42,0.81,0,0,10.47,0,0,0,0,41.09,0,0,6.45,0,2.42
 48-58,0,0,4.59,0.57,0,76.32,0,0.57,1.72,18.94,0,1.72,1.15,7.46,0,0,1.15,0.57,4.02,47.05,0,1.15,5.16,175.01,3.44,3.44,2.3,0,0.57,6.31,0,0,0,0,43.04,0,0.57,5.16,0,9.18
 60-70,0.98,0,4.91,0.98,0,144.28,0.98,3.93,0,25.52,0.98,0.98,1.96,7.85,0.98,5.89,0.98,0.98,0.98,55.95,0.98,1.96,3.93,231.64,0,4.91,1.96,0,0,9.82,0,0,1.96,0,25.52,0,0.98,8.83,0,4.91
 72-82,4.91,0,6.87,2.94,0,148.23,0,3.93,1.96,59.88,0.98,0.98,1.96,17.67,0.98,9.82,2.94,0,0.98,107.98,0.98,4.91,7.85,205.17,0,2.94,7.85,0,0.98,1.96,0,0,1.96,0,14.72,0,2.94,18.65,0.98,11.78
 84-94,2.12,0,24.43,3.19,0,127.44,0,1.06,1.06,37.17,11.68,1.06,1.06,28.68,1.06,8.5,1.06,2.12,5.31,47.79,1.06,2.12,5.31,106.2,3.19,2.12,9.56,0,0,37.17,0,0,7.43,0,7.43,1.06,1.06,11.68,3.19,9.56
 96-106,0,0,14.21,6.56,0,113.66,0,2.19,3.28,55.74,5.46,0,2.19,19.67,2.19,4.37,5.46,0,3.28,52.46,2.19,0,2.19,98.36,3.28,9.84,10.93,0,1.09,37.16,1.09,0,2.19,0,8.74,2.19,1.09,20.76,1.09,6.56
108-118,0.77,0,19.15,2.3,0,101.87,0,6.13,4.6,42.13,8.43,0,0.77,16.09,1.53,15.32,0,3.06,3.83,54.38,0.77,3.06,3.83,148.6,2.3,7.66,12.26,0,1.53,23.74,0,0,3.06,0,4.6,1.53,0.77,15.32,1.53,6.89
120,0,0,31.36,3.92,1.96,68.59,0,1.96,1.96,50.95,5.88,0,1.96,27.44,0,11.76,5.88,5.88,0,48.99,0,3.92,3.92,164.62,3.92,3.92,5.88,0,3.92,25.48,0,0,3.92,0,7.84,0,1.96,9.8,3.92,0
