stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,7,0,0,1,3
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,15.6,0,0,0,2.46
 36-46,0,0,0,0.81,0,0,0.81,0.81,0.81,0,10.47,0.81,0.81,0,1.61
 48-58,0,0,0,0,0,0,0,0.57,0,0,4.59,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0.98,0.98,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,2.94,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,3.19,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,1.09,0,0,0,0
120,0,0,0,1.96,3.92,0,0,0,0,0,1.96,0,0,0,0
