stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,3,11,0,0,0,2,0,1,0,0,0,6,0,0,1,71,0,0,1,1,1,13,14,19,0,0,5,0,0
 24-34,0,0,0,0.82,1.64,6.57,0,0,0,0.82,0,0,0.82,0.82,0.82,4.1,0,0,4.1,50.89,0,0,0,0,2.46,0,1.64,8.21,0,0,7.39,0,0
 36-46,0,0,0.81,0.81,0,9.67,0.81,0,0.81,0.81,0,0,0,0.81,0,7.25,0,0,0.81,41.89,0,0.81,0,0,0,0,0,8.86,0,0,2.42,0,0
 48-58,0,0,0,0,0,9.18,0,0,0,2.3,0,0,0.57,0,1.15,1.72,0.57,0,1.15,14.92,0.57,0.57,0.57,0,1.15,0,0,8.61,0,0,1.72,0,0.57
 60-70,0,0,0,2.94,0,5.89,0,0,0.98,6.87,0,0,0,0,0.98,4.91,0,0,0.98,15.7,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,2.94,0,0,0.98,0.98,0,0,0,0.98,1.96,5.89,0,0,0,13.74,0.98,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,2.12,0,0,1.06,1.06,0,1.06,2.12,0,4.25,10.62,0,0,1.06,9.56,0,1.06,1.06,0,1.06,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,4.37,0,0,1.09,1.09,1.09,0,0,0,16.39,6.56,0,1.09,0,12.02,0,0,0,0,1.09,0,0,2.19,0,0,2.19,1.09,0
108-118,0,0,0,2.3,0.77,7.66,0,0.77,0,4.6,0.77,0,1.53,0,11.49,7.66,0,0,1.53,14.55,0.77,0.77,0,0,2.3,0,0,0,0,0,1.53,0.77,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,27.44,0,0,0,0,15.68,0,3.92,0,0,3.92,0,0,0,0,1.96,7.84,0,1.96
