stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,13.14,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,12.59,0,81.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,0,0,0,56.65,0,0,3.15,0,289.52,0,3.15,0,0,0,0,0,0
 14-21,0,7,2,44,466,4,0,0,0,2,10,0,7,1,0,0,0,62,0,0,83,74,1,0,0,8,0,5,0,22,2,2,13,21,0,0,139,0,0
 24-34,0,0.82,0.82,29.55,53.36,7.39,0.82,0,0,0,4.1,0,16.42,4.93,2.46,0,0.82,33.66,0.82,0,8.21,73.88,0.82,1.64,0.82,0,0,4.93,0,0,2.46,0,4.93,9.85,0,0,514.68,0,0.82
 36-46,0,0,0,29.81,12.89,8.06,0,2.42,0.81,1.61,0,0,11.28,4.03,0,0,0,23.36,0,1.61,4.83,20.95,0.81,0,0.81,0,0,8.06,0,0,0.81,0,0,4.83,0,0,306.96,0,0.81
 48-58,0,0,0,21.8,4.59,9.18,0,4.02,0,1.72,0,0,21.8,1.72,0,0.57,0,13.2,0.57,2.3,1.72,23.53,0,0.57,0.57,0,0,2.87,0,0,0,0,0,5.16,0,0,243.87,0,0
 60-70,0.98,0,0,21.59,2.94,3.93,0,1.96,0.98,0.98,0,0,15.7,1.96,0,0,0,6.87,0.98,0,0,9.82,0,0,0,0,0.98,5.89,0,0,0,0,0,2.94,0,0,207.1,0,0.98
 72-82,0,0,0,28.47,1.96,7.85,0,6.87,1.96,2.94,2.94,0,25.52,3.93,0.98,0,0,13.74,0,0.98,0.98,11.78,0,0,0.98,0,0,4.91,0,0,0,0,0,0.98,1.96,0.98,383.83,2.94,0.98
 84-94,1.06,0,0,54.16,1.06,7.43,0,11.68,1.06,3.19,3.19,0,12.74,5.31,2.12,0,0,8.5,0,1.06,0,6.37,0,0,0,0,0,18.05,0,0,0,0,0,0,4.25,1.06,350.47,1.06,0
 96-106,0,0,0,68.85,2.19,13.11,1.09,8.74,1.09,2.19,3.28,0,27.32,14.21,5.46,0,1.09,13.11,1.09,1.09,0,18.58,0,1.09,1.09,0,0,13.11,0,0,3.28,0,0,1.09,3.28,1.09,429.49,2.19,0
108-118,0.77,0,0,55.92,0,7.66,0,9.96,0,2.3,3.06,0,10.72,4.6,6.13,0,0,9.96,2.3,0.77,0,6.13,0.77,0.77,0,0,0,16.85,0,0,2.3,0,0,0,1.53,0,323.24,2.3,0.77
120,0,0,0,47.03,3.92,0,0,11.76,0,1.96,3.92,1.96,11.76,5.88,7.84,0,0,9.8,0,0,0,3.92,1.96,3.92,0,0,0,23.52,0,0,0,0,0,0,0,0,329.24,0,0
