stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,0,0,0,0,0,0,0,1,20,0,0,0,0,0
 24-34,0,0,3.28,0,0,11.49,0,0,0,2.46,0,0,0,0,0,0,0,4.93,1.64,0,0,3.28,178.95,0,7.39,0,0,0,0.82,0,3.28,1.64,73.88,0,0,0.82,0,2.46
 36-46,0,0,0,0.81,0,36.26,2.42,0,0,20.14,0,0,0,0,0,0.81,0,8.86,4.03,0,0,0.81,406.86,0.81,7.25,0,0,0,0.81,0,3.22,0,103.13,0,0,0,0,4.03
 48-58,0,0,0.57,2.3,0.57,188.78,0.57,1.15,0.57,68.86,0,0,0,0,0,0,0,9.75,9.18,0,0.57,1.72,550.28,0,5.74,0,0,0,0.57,0,5.16,0,114.19,0,0,1.72,0,5.74
 60-70,0,0,0,4.91,0,917.72,0.98,0.98,0.98,170.78,0,0,2.94,0,0.98,1.96,0,3.93,8.83,0,3.93,0.98,1053.17,0,3.93,0.98,0,0,1.96,0,2.94,0,121.71,0,0,0.98,0,6.87
 72-82,0,0,0.98,12.76,3.93,1289.9,2.94,0.98,0,256.21,1.96,1.96,1.96,0,4.91,0.98,0,1.96,36.32,1.96,1.96,0,1149.53,1.96,8.83,3.93,0,1.96,2.94,0,2.94,0,89.33,0,0.98,4.91,1.96,7.85
 84-94,0,0,0,20.18,1.06,827.33,0,0,4.25,176.3,3.19,0,1.06,3.19,7.43,2.12,0,12.74,35.05,1.06,6.37,4.25,624.48,0,2.12,2.12,0,0,3.19,0,7.43,0,55.23,0,1.06,3.19,2.12,3.19
 96-106,0,0,1.09,15.3,2.19,773.74,2.19,2.19,0,199.99,5.46,0,5.46,0,5.46,1.09,6.56,10.93,28.41,1.09,4.37,4.37,609.81,2.19,8.74,8.74,0,0,3.28,1.09,5.46,0,26.23,0,1.09,5.46,3.28,5.46
108-118,0.77,0,0.77,12.26,2.3,475.66,1.53,0.77,1.53,166.21,2.3,0,1.53,0,5.36,0.77,0,9.96,19.15,0.77,0.77,4.6,654.13,2.3,7.66,0.77,0,1.53,4.6,0,6.89,0,23.74,1.53,0.77,4.6,1.53,6.13
120,0,0,0,25.48,3.92,454.67,3.92,1.96,0,166.58,1.96,1.96,3.92,0,3.92,0,1.96,3.92,29.4,0,0,5.88,866.23,3.92,5.88,1.96,0,0,1.96,0,1.96,0,27.44,1.96,0,5.88,0,9.8
