stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,1,0,0,1,1,1,0,0,0,0
 24-34,0,0,4.1,0,0.82,0.82,0,0,0,0,0,0,64.03,0,0,0,1.64,14.78,0,0.82,10.67,0,0,0,2.46,0.82,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,17.72,36.26,0,0,0,0,12.09,0,0,5.64,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,4.02,0,3.44,0,0,1.15,0,0,0,40.74,16.07,0,0.57,0.57,1.15,9.75,0,1.72,12.62,0,0.57,0,1.15,0,3.44,0,0,0.57,0
 60-70,0,0,2.94,0,4.91,1.96,0,0,0.98,0,0,44.17,18.65,0,0,0,0,4.91,0,0,4.91,0,0.98,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,10.8,0,5.89,0.98,0.98,2.94,0,0,0,79.51,45.16,0,0,0,0.98,7.85,0,0,17.67,0,0,0,0.98,0,0.98,0,0,0.98,0
 84-94,0,0,11.68,0,1.06,1.06,0,0,1.06,0,0,82.84,58.41,0,0,0,3.19,10.62,0,0,5.31,0,0,0,3.19,0,1.06,4.25,0,1.06,0
 96-106,0,0,50.27,1.09,5.46,1.09,1.09,1.09,0,0,1.09,107.1,63.39,0,1.09,1.09,9.84,19.67,1.09,0,7.65,0,0,1.09,5.46,0,0,6.56,1.09,0,1.09
108-118,0,0.77,42.89,0,5.36,1.53,0.77,2.3,1.53,0,0,70.47,69.7,0.77,0.77,0.77,3.83,13.79,0,0.77,9.19,0.77,0,0,1.53,0,0,8.43,0,0.77,0.77
120,0,0,64.67,0,0,5.88,1.96,1.96,1.96,0,0,111.71,54.87,0,3.92,1.96,3.92,1.96,0,0,9.8,0,0,0,5.88,0,1.96,0,0,1.96,0
