stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,8,0,0,0,0,2,0,1,13,0,0,0
 24-34,0,1.64,0,0.82,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,1.64,0,0,102.61,0,0.82,0.82,0,0,0,0,61.56,0,3.28,0
 36-46,0,0.81,0,0,0,0.81,0.81,0.81,0.81,0,0,1.61,0,0,0,0.81,0.81,0,0.81,251.37,0,2.42,1.61,0,0,0,0,72.51,0,0.81,0
 48-58,0,0,0,0.57,0,10.9,0,0,1.15,0,0,0.57,0,0.57,0,0,5.16,0,0.57,468.8,0.57,1.15,1.72,0,0,0,0,84.35,0,4.02,0
 60-70,0,1.96,0,1.96,0,37.3,0.98,0,9.82,1.96,0,3.93,0,0,0,0,9.82,0,0,965.82,0,1.96,1.96,0,0,0,0,94.23,0,1.96,0
 72-82,0,0,0,4.91,0,74.61,0,0.98,14.72,0,0,3.93,0,0,0,0,14.72,0.98,0.98,928.65,0,2.94,2.94,0,0,0,0,75.59,0.98,0,0
 84-94,0,0,0,2.12,0,61.6,0,0,11.68,0,0,0,0,4.25,0,0,7.43,1.06,1.06,465.17,0,5.31,1.06,1.06,0,0,0,32.92,0,3.19,1.06
 96-106,0,3.28,0,7.65,2.19,44.81,0,0,12.02,1.09,0,0,2.19,0,1.09,1.09,4.37,0,1.09,408.72,0,2.19,1.09,1.09,0,0,0,21.86,1.09,0,0
108-118,0,0.77,0.77,1.53,0,36.77,0,0,7.66,0,0,2.3,0.77,0.77,0,0,3.83,0,0,408.26,0,3.83,0,0.77,0,0,0,22.21,2.3,1.53,0
120,0,0,0,0,3.92,35.28,0,0,11.76,0,0,0,0,0,0,0,5.88,1.96,0,576.18,0,0,1.96,1.96,0,0,0,15.68,0,1.96,0
