stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,2.63,0,0,0,21.03,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,131.44,5.26,0,0,68.35,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,110.14,0,3.15,3.15,12.59,0,0,0,0,0,0,0
 14-21,0,0,3,11,4,0,10,0,0,1,1,0,1,0,0,0,0,3,0,0,5,65,0,0,1,0,0,1,11,1,0,29,15,0,0,1,0
 24-34,0,0,0,1.64,3.28,0,13.13,0,0,3.28,0,0,0,0,0,0,1.64,5.75,0.82,0,4.1,74.7,0,0.82,1.64,0,1.64,0,0,0,0,2.46,12.31,0,0,8.21,1.64
 36-46,0,0,0,0.81,0,0,16.92,0,0,0.81,0,0,0.81,0,0,0,0.81,4.03,0,0,0.81,39.48,0,0,1.61,0,1.61,0.81,0,0,0,0.81,11.28,0,0,0.81,0
 48-58,0,0,0,0,0,0,14.92,0,0,4.59,0,0,0,0,0,0,0,9.18,0,0.57,2.87,22.95,0,0,0,0,0,0,0,0,0,0,5.74,0,0,3.44,0
 60-70,0,0,0,1.96,0,0,18.65,0,0.98,1.96,0,0,0,0,0,0,0,1.96,0,0,1.96,13.74,0,0,1.96,0,1.96,0,0,0,0.98,0,0.98,0,0,2.94,0
 72-82,0,0,0,1.96,0,0,20.61,0,0,4.91,2.94,0,1.96,0.98,0,0,0,14.72,0,0,4.91,24.54,1.96,0,0.98,0,0,0,0,0,0,0,2.94,1.96,0,9.82,0.98
 84-94,0,0,0,3.19,3.19,0,20.18,1.06,1.06,8.5,0,0,0,2.12,0,1.06,0,9.56,0,0,2.12,15.93,0,1.06,0,0,4.25,0,0,1.06,1.06,0,1.06,0,0,4.25,0
 96-106,0,0,0,5.46,0,0,22.95,1.09,1.09,4.37,0,0,0,0,0,0,0,12.02,0,0,7.65,15.3,0,0,1.09,0,4.37,0,0,0,0,0,1.09,1.09,0,7.65,2.19
108-118,0,0,0,5.36,0.77,1.53,19.92,0,1.53,6.13,1.53,0,0,2.3,0.77,0.77,0,12.26,0,0.77,5.36,19.92,1.53,0,0.77,0,6.13,0,0,1.53,0.77,0,0.77,0,0,2.3,0
120,0,0,0,15.68,5.88,0,13.72,0,0,5.88,3.92,0,0,3.92,0,0,0,23.52,0,0,9.8,31.36,1.96,1.96,1.96,0,11.76,0,0,0,0,0,1.96,0,1.96,7.84,0
