stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,28.92,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,62.94,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,2,0,1,5,0,0,2,0,17,0,1,1,0,0,1
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,2.46,0.82,0,0,16.42,0,0,0,1.64,0,0,0,0,4.1,0.82,4.1
 36-46,0,0,0,0,0,0,3.22,0,0,2.42,0,0,0,0,0,0,0,0.81,0,0,19.34,0,0,0,0,0,0,0,0,8.06,0,4.03
 48-58,0,0,0,0,1.72,0,1.15,0,0,1.72,0,0,0.57,0.57,0.57,0,0,1.72,0,0,44.76,0.57,0,0,0.57,0,0,0,0,4.59,0,5.16
 60-70,0,0,0,0,0.98,0.98,12.76,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0,91.28,0,0,0,0.98,0,0,0,0,1.96,0.98,0
 72-82,0,0,0.98,0.98,0,0.98,34.36,0,1.96,2.94,0.98,0,0,0,0,0,0,9.82,0.98,0.98,128.6,0,0,0,0,0,0,0,0,2.94,0,3.93
 84-94,0,0,0,1.06,0,0,32.92,0,0,0,2.12,0,0,0,0,0,0,0,0,0,59.47,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,32.79,0,0,3.28,0,0,0,0,0,1.09,0,3.28,0,0,60.11,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0,15.32,0,0,2.3,0,0.77,0,0,0,0,0,0.77,0,0,42.89,0,0,0,0.77,0,0,0.77,0,2.3,2.3,0.77
120,0,0,0,0,1.96,0,7.84,0,0,1.96,3.92,0,0,0,0,0,0,1.96,0,0,47.03,0,1.96,0,1.96,0,0,0,0,1.96,0,0
