stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,34.62,0,0,0,3.15,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0,0.57
 60-70,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,0,0.98,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,3.19,0,0,0,0,0,0,0,1.06,0,0,0,0,2.12,0
 96-106,0,1.09,8.74,2.19,0,2.19,0,0,0,1.09,1.09,0,1.09,0,0,8.74,0
108-118,0,2.3,2.3,2.3,0,1.53,0,0,0,0,0,0.77,0,0,0,6.89,0
120,0,0,1.96,1.96,1.96,0,0,0,0,1.96,1.96,0,0,1.96,0,5.88,0
