stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,0,0,0,0,0,0,5.26,5.26,128.81,0,0,0,0,0
 10-12,0,0,37.76,0,0,0,0,0,0,0,0,0,15.73,22.03,232.88,0,12.59,0,15.73,0
 14-21,0,0,4,3,1,0,0,0,0,0,2,16,1,0,2,45,0,9,268,2
 24-34,0,0,0,0.82,0,0,0,0,0,0,5.75,9.03,1.64,0,0,0,0.82,0,23.8,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,3.22,4.03,0.81,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,0,3.44,2.3,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,4.91,0.98,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,0.98,0,3.93,1.96,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,5.31,1.06,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,1.09,2.19,0,4.37,1.09,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0.77,0.77,1.53,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96,0,0,0,0,0,0
