stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1370.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1838.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,12.26,0,0,18.39,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,28.92,0,31.54,0,0,89.38,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,712.38,18.4,0,0,254.99,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,28.32,0,0,78.67,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,591.63,25.18,0,0,166.79,0,0,6.29,0,28.32,0,6.29,0,0,0,0,0
 14-21,0,0,1,3,38,2,18,0,0,0,7,0,0,0,0,0,0,0,0,3,14,0,0,21,269,5,1,3,7,0,1,0,36,3,2,18,95,0,2,0,0
 24-34,0,0,0,2.46,9.03,1.64,36.12,0,1.64,0,4.93,0,0,0.82,0,0,0.82,0.82,0.82,1.64,23.8,0.82,0,11.49,332.45,1.64,2.46,6.57,0,0,6.57,0,0,0,0,6.57,58.28,0,4.1,0,0.82
 36-46,0,0,0,0,6.45,0,45.12,0,1.61,0.81,8.06,0.81,0,0,0,0,0,0,0,0,24.98,0,0,8.06,146.63,0.81,1.61,1.61,0,0.81,0.81,0.81,0,0.81,0,0,33.03,0,2.42,0,0
 48-58,0,0,0,0,2.87,0,34.43,0,1.15,0.57,10.33,0,0,1.15,0,0,0.57,0.57,0,0,20.66,0,1.15,4.02,61.4,0,0,0.57,0,0,0.57,0,0,0,0,0,17.21,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,36.32,0,1.96,0.98,14.72,1.96,0,0.98,0,0,0,0,0,0,15.7,0,1.96,1.96,43.19,0,0,0,0,0.98,1.96,0,0,0,0,0,5.89,0.98,2.94,0,0.98
 72-82,0,0,0,0,1.96,0,21.6,0,1.96,0,20.61,2.94,0,0.98,0.98,0,0,0,0,0,36.32,0,0.98,1.96,48.1,0,0.98,0.98,0,0,1.96,0,0,0,0.98,0,4.91,0,1.96,1.96,0.98
 84-94,0,0,0,0,5.31,0,16.99,1.06,1.06,0,10.62,3.19,0,1.06,1.06,0,0,0,0,0,15.93,2.12,3.19,4.25,24.43,0,2.12,0,0,0,7.43,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,3.28,0,7.65,0,1.09,0,13.11,2.19,0,0,0,1.09,0,0,0,0,10.93,0,1.09,4.37,10.93,0,1.09,3.28,0,0,3.28,1.09,0,0,0,0,2.19,1.09,2.19,1.09,1.09
108-118,0,0,0,0,4.6,0,9.96,0,0,0,12.26,0.77,0,0,1.53,0,0,0,0,0.77,14.55,0,0.77,3.06,21.45,0,0.77,1.53,0,0.77,3.83,0,0,2.3,0,0,0,0,3.83,0,0
120,0,0,0,0,5.88,1.96,7.84,0,0,0,7.84,1.96,0,0,1.96,0,0,1.96,0,0,5.88,0,0,1.96,29.4,0,0,3.92,0,0,0,0,0,0,0,0,0,0,3.92,0,0
