stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,iridophores,mesenchyme,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,0.82,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,5.64,0.81,0.81,0,3.22,0.81
 48-58,0,0,1.15,0,0,0,0,0,0,0.57,2.87,0.57,0,0,1.72,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0.98,0,0,1.96,0,1.96,0.98,0,0,0,0
 84-94,1.06,0,2.12,1.06,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,0,0,2.19,1.09,0,0,0,0
108-118,0,0.77,1.53,0,0,0,0,0.77,1.53,0,1.53,0,1.53,0,0.77,0
120,0,0,1.96,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0
