stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,21,1,0
 24-34,0.82,0.82,1.64,0,0,0.82,0,0,0.82,0.82,0,3.28,8.21,4.1,0.82,0,0,22.98,0.82,0
 36-46,0,1.61,3.22,0,0,0,0,0,1.61,4.03,0,8.06,8.86,1.61,0,0,1.61,4.03,0,0
 48-58,0,1.72,4.02,0,0,0,0,0,0.57,2.3,0,10.33,6.89,1.15,0,0,1.15,0,0.57,0
 60-70,0,0,4.91,0,0,0,0,0,0.98,7.85,0.98,5.89,0,1.96,0.98,0,0,0,1.96,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0.98,0.98,0,0,0,0.98,0,0,0
 84-94,0,4.25,3.19,0,0,0,0,1.06,0,3.19,0,5.31,1.06,0,0,0,0,0,1.06,1.06
 96-106,0,0,2.19,1.09,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0.77,0,2.3,0,0.77,0.77,0.77,0,0,0.77,0,3.06,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,0,3.92,0,0,0
