stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,44.69,10.51,0,0,39.43,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,18,1,0,0,0,0,0,1,0,0,2,4,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0.82,30.37,0,0,0,0,0,0.82,0,0,0,0,4.1,2.46,0,0.82
 36-46,0,0,0,0.81,0.81,17.72,0.81,0,0.81,0,0,0,0,0.81,0.81,0,0,0,6.45,0,3.22,61.23,0.81,1.61,0,0,0,0,0,0,0.81,0,19.34,0,0,0
 48-58,0,0,0,0,0,13.77,0,0,0,3.44,0,0,0,0,0,0,0,0,7.46,0,1.15,31.56,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0.57
 60-70,0,0,0,0,0,15.7,0,0,0.98,2.94,0,0,0,0,0,0.98,0,0,7.85,0,1.96,53.98,0,0,0,0,0,0,0,0,0,0,7.85,1.96,0,0
 72-82,0,0,0,0.98,1.96,9.82,0,0,0,6.87,0,0,0,0,0,0.98,0,0,12.76,0,2.94,25.52,0,0,0.98,0,0,0,0,0,0,0,1.96,3.93,0,0.98
 84-94,0,0,0,1.06,3.19,14.87,0,0,2.12,5.31,0,0,0,4.25,0,1.06,0,1.06,12.74,0,2.12,25.49,0,0,0,0,0,2.12,0,0,0,0,7.43,4.25,0,0
 96-106,0,0,0,1.09,1.09,8.74,0,0,0,4.37,0,0,1.09,6.56,1.09,0,0,0,14.21,1.09,1.09,12.02,0,0,0,0,1.09,1.09,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,3.83,1.53,9.19,0,0.77,0.77,0.77,1.53,0,0,5.36,1.53,3.06,0,0.77,16.85,0.77,0,26.04,0,0.77,2.3,0,0,2.3,0,0.77,0,0,0,3.06,0.77,2.3
120,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,1.96,0,0,17.64,0,0,0,0,0,0,0,0,0,0,1.96,3.92,3.92,0
