stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,28.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2,4,7,0,0,0,0,0
 24-34,0,0,2.46,0,0,6.57,0,0,0,0,0,0,0,0,0,0,1.64,0,0,3.28,0,0,0.82,41.86,0.82,0.82,0,0,0,0,10.67,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,6.45,0,0,0,4.83,0,0,0,0,0,0,0,0,0,3.22,0,0,0,37.87,0.81,0,0,0,0,0,6.45,0,0,0,0,0
 48-58,0,0,1.15,0,0,7.46,0,0,0,9.18,0,0,0,0,0,0,2.3,0,0,4.02,0,0,1.15,38.44,0.57,0,0,0,0,0,5.74,0,0,0,0,0
 60-70,0,0,0.98,0,0,8.83,0,0.98,0,38.28,0,0,0,0,0,0,2.94,0,0,10.8,0,0.98,0,47.11,0,0,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0.98,3.93,0.98,0,35.34,0,0,0.98,101.11,0,0,0,0,0,0,0.98,0,0,24.54,0,0,2.94,63.81,0.98,0.98,0,2.94,0,0,8.83,0,0,2.94,0,1.96
 84-94,0,0,2.12,0,0,32.92,0,1.06,0,78.59,0,0,0,2.12,1.06,0,1.06,0,1.06,6.37,1.06,0,1.06,32.92,2.12,0,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,7.65,6.56,0,31.69,0,0,1.09,90.71,4.37,0,1.09,1.09,0,0,2.19,4.37,0,14.21,0,0,1.09,38.25,6.56,5.46,0,6.56,0,0,1.09,1.09,1.09,1.09,0,1.09
108-118,0,0,4.6,3.06,0,13.79,0.77,1.53,0,82.72,1.53,0,0,0,0,1.53,2.3,0,0,13.02,0,0,1.53,57.45,2.3,2.3,0,0.77,0,0,2.3,0.77,0,0,0.77,0
120,0,0,1.96,0,1.96,13.72,0,1.96,0,107.79,1.96,0,0,0,1.96,0,0,0,0,3.92,1.96,0,1.96,52.91,0,1.96,0,0,0,0,0,0,0,1.96,0,0
