stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,2.63,0,0,0,10.51,2.63,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,0,0,1.64,6.57,0,0,0,0,0,0,0.82,0.82,0
 36-46,0,0.81,0,1.61,0,0,0,0,0,0,0,0,7.25,0,0,0.81,0,0,0,0,3.22,0
 48-58,0,1.15,0,1.15,0,0,0,0,0,0,2.3,0.57,4.02,0,0,0,0,0,1.15,0,1.15,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0.98,3.93,0.98,2.94,0,0,0.98,0,0,1.96,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0,0,0.98,0.98,5.89,0,0,0.98,0,1.96,0,0,0,1.96
 84-94,0,1.06,1.06,1.06,0,0,1.06,0,0,0,0,0,3.19,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0,1.53,0.77,0,0,0,0,0,0,0,1.53,0,0,0
120,0,0,3.92,1.96,0,0,0,1.96,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0
