stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,619.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,2.63,0,0,26.29,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,236.58,7.89,0,0,102.52,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,18.88,34.62,0,0,28.32,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,248.61,0,0,0,113.29,0,0,6.29,0,15.73,0,0,0,0,0
 14-21,0,0,3,20,3,7,0,0,7,2,0,1,0,0,0,0,0,13,0,0,12,123,3,1,2,3,0,11,0,11,3,9,40,0,0,0
 24-34,0,0,0,7.39,0.82,47.61,0,0.82,9.03,0.82,0,0,0,0,0.82,0,0.82,41.04,0,0,11.49,447.37,0.82,0.82,4.1,0,0,4.1,0,0,0,1.64,93.58,0,3.28,0
 36-46,0,0,0,5.64,0,87.01,0,0,4.83,0,0,0,0,0,0.81,0,0,12.09,0.81,0.81,5.64,235.26,0.81,0.81,0.81,0,0,4.83,0,0,0,0,42.7,0,0.81,0
 48-58,0,0,0,2.87,0.57,121.65,0.57,1.15,5.16,0,0,0,0,0,0,0.57,0,16.64,0,1.15,5.16,111.32,0,0.57,0,0,0,1.15,0,0,0,0,14.92,0,0.57,0
 60-70,0,0,0,6.87,0,94.23,0,0,4.91,1.96,0,0,0,0,0.98,0.98,0,20.61,0,0,0.98,66.74,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,1.96,0,35.34,0,0,12.76,0,0,0.98,2.94,0.98,0,0.98,0,19.63,0,0,0.98,45.16,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.25,3.19,20.18,0,1.06,0,1.06,0,0,1.06,1.06,0,0,0,9.56,0,0,1.06,22.3,0,1.06,1.06,0,0,1.06,0,0,0,0,0,2.12,2.12,0
 96-106,0,0,0,2.19,1.09,9.84,0,0,2.19,0,0,0,0,0,0,0,1.09,1.09,0,0,2.19,21.86,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,0,0.77,17.62,0,0,6.89,0.77,0,0,0.77,0,0,0,0,2.3,0,0,1.53,26.81,0.77,0,0.77,0,0,1.53,0,0,0,0,0.77,0,0,0.77
120,0,0,0,9.8,3.92,29.4,0,0,11.76,0,0,1.96,1.96,0,0,0,0,3.92,0,1.96,3.92,60.75,0,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0
