stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,24.63,0.82,0,0,0,19.7,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0,0,65.26,0,0,0,0,20.95,0,0
 48-58,0,0,0.57,0,0,4.59,0,0.57,0.57,0,0,0,0,0,0,70,0,0,0.57,0,14.92,0.57,0.57
 60-70,0,0,0,0,0,27.48,0,0,1.96,0,0,0,4.91,0,0,159.99,0,0,0,0,32.39,0,0
 72-82,0.98,0,2.94,1.96,0,66.75,0,5.89,0,0,0.98,0.98,8.83,0,0,213.02,0,0.98,0,0.98,21.6,0,0
 84-94,0,0,1.06,0,0,39.3,1.06,3.19,0,2.12,0,0,3.19,0,0,97.71,0,0,1.06,0,14.87,0,0
 96-106,0,0,1.09,1.09,0,63.39,1.09,6.56,0,2.19,0,0,2.19,0,0,96.17,0,0,1.09,1.09,3.28,0,0
108-118,0.77,0,0.77,0.77,0,43.66,0,3.06,0,2.3,0,0,0.77,0.77,0,130.21,0,1.53,0,0.77,7.66,0,0
120,0,0,1.96,0,1.96,82.31,1.96,13.72,0,5.88,0,0,5.88,0,3.92,258.69,0,0,0,0,13.72,0,0
