stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,mesenchyme,muscle,neural,otic,periderm,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,1.64,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,12.09,0.81,0.81,4.83,0,0
 48-58,0,0,0,0.57,0,0,0,0,1.15,0,18.36,0,0,2.87,0,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,69.69,0,0.98,5.89,0,0
 72-82,0,0,0,5.89,0,2.94,0,0.98,0.98,0,114.85,0,0,12.76,0,0
 84-94,0,0,0,9.56,1.06,2.12,1.06,0,2.12,0,50.98,0,0,1.06,0,0
 96-106,0,0,0,6.56,0,1.09,0,0,2.19,1.09,52.46,0,0,3.28,0,1.09
108-118,0,0,0.77,4.6,0,0,0,0,0.77,0,52.09,0,0,2.3,0.77,0.77
120,0,1.96,0,3.92,0,1.96,0,0,0,0,64.67,0,0,0,0,0
