stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0.82,54.18,3.28,0,0,0,0,13.95,0,0,0.82,0,0
 36-46,0,0.81,0,3.22,0,0,0,0,0,0,0,186.92,2.42,0,0,0.81,0,21.75,0,0,0,0,0
 48-58,0,0.57,0,5.74,0.57,0,0,0,0,0,0.57,135.99,1.15,0,1.15,0,0.57,13.2,0,0,0,0,1.15
 60-70,0,0,0.98,24.54,0,0,3.93,0,3.93,0,0,485.85,0.98,0,0,0,0,35.33,0,0,0,0,0
 72-82,0,0,0.98,60.86,0,0,3.93,0,0,0.98,0,275.85,0.98,0.98,0,0,0,16.69,0.98,0.98,0,0.98,0
 84-94,0,1.06,0,37.17,0,0,1.06,0,1.06,0,0,151.87,1.06,0,0,0,0,8.5,0,0,0,0,0
 96-106,0,2.19,1.09,38.25,0,0,4.37,1.09,3.28,0,0,126.77,1.09,0,2.19,0,0,2.19,1.09,0,2.19,0,0
108-118,0.77,1.53,0,25.28,0,0,0.77,0,1.53,0,0.77,127.92,0.77,0.77,0.77,0,0,4.6,0,0,1.53,0,0.77
120,0,5.88,0,41.16,0,1.96,0,0,3.92,0,1.96,162.66,1.96,0,0,0,0,5.88,0,0,0,0,0
