stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,3202.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1311.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,7.89,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,34.17,0,10.51,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,9.44,0,12.59,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,39,7,0,8,3,0,1,5,0,0,3,4,0,0,0,0,9,0,0,3,53,0,0,0,2,0,80,0,2,1,5,9,0,0,3,0,1
 24-34,0,0,0,1.64,27.09,1.64,0,13.95,7.39,0.82,2.46,0.82,0.82,2.46,9.85,12.31,0,2.46,2.46,0,12.31,5.75,0,4.1,63.21,0.82,1.64,1.64,0,0,234.76,0,0,1.64,0.82,20.52,0,0,6.57,0,1.64
 36-46,0,0,0,1.61,10.47,0.81,0,11.28,10.47,0.81,7.25,1.61,0,1.61,9.67,7.25,0,4.03,0,0.81,17.72,3.22,0,4.83,41.09,0,0,4.03,0,0,207.86,0.81,0,1.61,0,10.47,0,0,7.25,0,2.42
 48-58,0,0,0,0,15.49,0,0,9.75,11.48,1.15,3.44,1.15,0.57,0,7.46,4.02,0,1.15,1.72,1.15,26.4,3.44,1.72,5.74,25.82,0,1.72,2.87,0,0,137.71,0,0,2.3,0,10.33,0,0,6.31,0,4.59
 60-70,0,0,0,0,25.52,0.98,0,8.83,17.67,4.91,18.65,6.87,0,0.98,13.74,2.94,1.96,2.94,0,0.98,33.37,8.83,2.94,3.93,19.63,0,1.96,3.93,0,0,185.51,0,0,0,0,4.91,0,0,10.8,0,1.96
 72-82,0,0,1.96,0,35.34,0,0,8.83,7.85,3.93,11.78,10.8,2.94,2.94,23.56,9.82,0,4.91,1.96,1.96,73.62,4.91,3.93,4.91,24.54,0,2.94,3.93,0,1.96,187.5,0,0,1.96,0,2.94,0,2.94,21.6,0,9.82
 84-94,0,0,0,0,74.34,2.12,0,9.56,27.61,1.06,8.5,9.56,6.37,2.12,35.05,19.12,3.19,6.37,0,2.12,46.73,4.25,7.43,3.19,18.05,1.06,5.31,6.37,0,1.06,550.14,0,0,3.19,0,1.06,6.37,2.12,13.81,0,1.06
 96-106,0,0,2.19,1.09,91.8,3.28,0,4.37,26.23,3.28,15.3,27.32,0,3.28,39.34,19.67,2.19,14.21,2.19,0,67.76,10.93,8.74,1.09,24.04,2.19,15.3,4.37,0,5.46,532.22,0,0,1.09,0,6.56,5.46,2.19,13.11,6.56,6.56
108-118,0,0,0,0,117.96,3.06,0.77,12.26,32.17,3.06,16.85,22.98,0,1.53,39.06,24.51,4.6,3.83,2.3,0,53.62,15.32,2.3,4.6,26.04,1.53,6.13,7.66,0,4.6,475.66,0,0,3.83,0,1.53,9.19,5.36,17.62,3.83,5.36
120,0,0,0,0,127.39,3.92,0,5.88,39.2,1.96,11.76,25.48,0,3.92,39.2,19.6,1.96,3.92,3.92,0,33.32,13.72,0,5.88,17.64,0,9.8,11.76,0,3.92,419.39,0,0,0,0,1.96,3.92,0,27.44,1.96,3.92
