stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,18.88,0,0,6.29,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,4,15,3,0,10,0,0,0,1,0,1,0,0,0,0,0,1,19,0,0,17,69,0,0,0,4,0,4,1,10,2,8,23,0,0,1,0,1
 24-34,0,0,0.82,10.67,1.64,0,29.55,0,0,0.82,4.1,0,0.82,0,0,0,0.82,2.46,1.64,50.89,0,0,19.7,109.99,0,0.82,1.64,0,0,3.28,0,0,1.64,4.1,15.6,0,0,15.6,0,12.31
 36-46,0,0,0,5.64,0,0,23.36,0,0.81,0.81,5.64,0,0,0,0.81,0.81,0.81,0.81,0,50.76,1.61,0.81,8.86,41.09,0.81,2.42,2.42,0,0,3.22,0,0,0.81,0,12.09,0,0,8.06,0,12.89
 48-58,0,0,0,4.02,0,0,14.92,0,1.15,3.44,5.74,0.57,2.87,1.15,0,1.72,1.15,0.57,0,72.3,0.57,0,10.9,26.97,0,0.57,2.3,0,0,3.44,0,0,1.72,0,5.16,0,1.15,10.9,0.57,24.1
 60-70,0,0,0,5.89,0,0,20.61,0,2.94,3.93,4.91,0.98,3.93,0,1.96,2.94,2.94,0,0,142.32,0,4.91,14.72,28.46,0,2.94,2.94,0,3.93,5.89,0,0,0,0,4.91,0,2.94,6.87,0.98,10.8
 72-82,0,0.98,0,25.52,0,0,29.45,0,5.89,4.91,12.76,0,11.78,0.98,0,6.87,3.93,0,0,296.46,0,4.91,19.63,38.28,0,0.98,5.89,0,2.94,1.96,0,0,0.98,0,0.98,0,7.85,12.76,6.87,14.72
 84-94,0,1.06,0,27.61,0,0,26.55,0,3.19,4.25,7.43,4.25,2.12,3.19,1.06,12.74,4.25,0,0,180.55,0,3.19,15.93,15.93,0,0,5.31,0,2.12,5.31,0,0,0,0,1.06,0,7.43,14.87,3.19,12.74
 96-106,0,0,0,30.6,0,0,24.04,0,1.09,3.28,9.84,4.37,3.28,7.65,1.09,7.65,2.19,0,0,192.34,1.09,8.74,12.02,25.14,0,4.37,5.46,0,7.65,7.65,0,0,1.09,0,1.09,1.09,9.84,13.11,4.37,15.3
108-118,0,0.77,1.53,58.21,0,0.77,33.7,0,11.49,3.06,11.49,4.6,1.53,7.66,3.06,16.09,5.36,0,0,165.45,1.53,3.06,16.09,32.94,0,4.6,6.13,0,2.3,6.13,0.77,0,0.77,0,0,0.77,4.6,16.09,2.3,12.26
120,0,0,1.96,78.39,1.96,0,47.03,1.96,1.96,3.92,7.84,3.92,1.96,11.76,0,11.76,7.84,3.92,0,176.38,0,5.88,13.72,41.16,1.96,0,5.88,0,1.96,7.84,0,0,0,0,1.96,5.88,5.88,17.64,0,1.96
