stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,7.89,0,0,15.77,0,0,0,0,0,0,0,0,0,84.12,10.51,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,94.41,0,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,11,0,0,1,1,0,1,1,0,1,6,0,0
 24-34,0,0,0,0,0,0.82,1.64,0,0.82,0,0.82,0,0,0,0,2.46,30.37,0,0,0,0.82,0,0,0,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,2.42,0,0.81,4.03,0,0.81,29.81,0.81,0,0,0,0.81,0,0,0,0,6.45,0,0
 48-58,0,0,0,0,0,0,7.46,0.57,0,0,0.57,0.57,0,1.15,0,0.57,16.07,0,0,0,0,0,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,6.87,0,0,0,1.96,0,0,0.98,0,0,19.63,0,0,0,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0.98,0,11.78,0,0,0,0.98,0,0,3.93,0,0,13.74,0,0,0,0,0,0,0,0.98,0,2.94,0.98,0.98
 84-94,0,0,1.06,0,0,1.06,3.19,0,0,1.06,2.12,0,0,2.12,0,2.12,5.31,0,0,0,1.06,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,6.56,0,0,0,1.09,0,0,0,0,0,2.19,0,0
108-118,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0.77,0.77,0,7.66,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,1.96,0,3.92,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0,0
