stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,22.16,0,0,4.1,0,0
 36-46,0,1.61,0,0,0,0,0,0,1.61,0.81,0,0,0.81,0,0,0,21.75,0,0,3.22,0,0
 48-58,0,1.15,0,0.57,0.57,0,0,0,5.16,0,0,0,0,0,1.72,0.57,30.99,0,0.57,4.02,0,1.15
 60-70,0,3.93,0,0,0.98,0,0,1.96,1.96,0,0,0,0,0,0.98,0,48.09,0,0,0.98,0,0
 72-82,0,2.94,0.98,0.98,0,0,0,0,3.93,0,0,0,0.98,0.98,0.98,0,54.97,0,0,5.89,0,0
 84-94,0,6.37,0,1.06,2.12,0,0,1.06,4.25,5.31,0,0,1.06,0,0,1.06,151.87,0,0,5.31,1.06,0
 96-106,0,9.84,1.09,1.09,2.19,0,0,0,5.46,2.19,0,1.09,4.37,0,5.46,0,124.58,0,0,0,0,0
108-118,0,11.49,0,0,6.89,0.77,0.77,0,3.06,3.83,0,0,1.53,0,1.53,0,103.41,0.77,0,5.36,0,0
120,0,13.72,0,0,5.88,0,0,0,25.48,3.92,1.96,0,1.96,0,0,0,90.15,0,0,21.56,1.96,0
