stage,blastomeres,endoderm,epidermis,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,0
 24-34,0,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,1.61,0.81
 48-58,0,0,0.57,0.57,1.15,0,0.57,1.72,0,1.72,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,1.06,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,1.53,0,0.77,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
