stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3,3,0,0,0,0,0,0,2,2,0,0,3,22,2,0,0,2,0,1,11,0,0,1
 24-34,3.28,7.39,0,0,1.64,0,0.82,0,5.75,20.52,0,0.82,41.04,66.49,0,0.82,0.82,0,0,0.82,4.93,0,0,0.82
 36-46,0.81,2.42,0,0,0,0,0,0.81,1.61,47.53,0,0,29.81,43.51,0,0,0,0,0.81,0,3.22,0.81,0,0.81
 48-58,0.57,2.87,1.15,0,2.87,0,0,0,0,46.48,0,2.3,16.64,21.8,0,0,0.57,0,0,0,1.72,0,0,0
 60-70,0.98,3.93,0,0,0.98,0,0,0,0,37.3,0,0.98,6.87,16.69,0,0,0,0,0,0,1.96,0,0,0
 72-82,0.98,9.82,0,0,1.96,0.98,0,0,0,34.36,0.98,8.83,13.74,21.6,0,1.96,0,0,0,0,0,0,1.96,0
 84-94,1.06,6.37,1.06,2.12,2.12,0,0,0,0,30.8,0,2.12,5.31,6.37,0,0,1.06,0,0,0,0,0,2.12,0
 96-106,0,4.37,0,0,0,0,0,0,0,20.76,0,3.28,9.84,7.65,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0.77,0.77,0,0.77,0.77,0,0,0,0,11.49,0,3.06,3.83,7.66,0,0,0,0,0,0,0,0.77,1.53,0
120,0,5.88,1.96,1.96,0,0,0,0,0,1.96,0,1.96,1.96,9.8,0,0,1.96,0,0,0,0,0,3.92,0
