stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,2,1,3,0,1,0,1,0,0,4,0,0,0,0,1,24,2,0,0,4,1,0,1,13,0,0,0,1
 24-34,0,0.82,0,0.82,0,11.49,0,0,0,0.82,0,0,2.46,0.82,4.1,0,0,0,83.73,0.82,0.82,0,4.1,0,0,0,14.78,0,0,0,0
 36-46,0,0,0,0,0,38.67,0,4.03,0,0,0,0,0,0,5.64,0,0,1.61,145.02,0.81,1.61,0,4.03,0,0,0,31.42,0,0,0,0
 48-58,0,0,0,0,0,51.64,0,6.89,0,0,0,0,0,0.57,3.44,0.57,0.57,0.57,109.02,1.15,0,0,1.15,0,0,0,16.64,0,0.57,0,0
 60-70,0,0.98,0,0.98,0,107.97,0,14.72,0,0,0,0,0,0,0.98,0,0,0,138.39,0.98,0,0,4.91,0,0,0,28.46,0.98,0.98,0.98,0.98
 72-82,0,0.98,0.98,1.96,0,177.68,0,24.54,0,0,0.98,0.98,0,0.98,8.83,0,0,2.94,115.84,0.98,1.96,0,0,0.98,0,0,14.72,1.96,0.98,0,0
 84-94,0,0,0,0,0,128.51,0,9.56,1.06,1.06,1.06,1.06,2.12,0,4.25,0,0,1.06,62.66,1.06,0,0,7.43,0,0,0,2.12,1.06,0,1.06,0
 96-106,0,2.19,0,0,0,149.72,2.19,5.46,2.19,0,0,0,2.19,0,4.37,0,0,0,55.74,2.19,3.28,0,4.37,0,1.09,0,3.28,1.09,1.09,1.09,0
108-118,0,0,0,0,0.77,128.68,0,6.89,0.77,0,0,0,0,0,1.53,0,2.3,0,38.3,0.77,0.77,0,2.3,0,0.77,0,2.3,1.53,1.53,0,0
120,0,0,0,0,1.96,127.39,0,9.8,0,0,0,0,3.92,1.96,1.96,0,0,0,54.87,1.96,0,0,1.96,0,0,0,1.96,1.96,0,0,0
