stage,blastomeres,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
 10-12,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,4.93,0.82,0,1.64,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,2.42,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,2.3,0,0,0.57,0,0.57,0
 60-70,0,0,2.94,0,0,0,1.96,0.98,4.91,0,0,0,0,0.98,0.98
 72-82,0,0,1.96,0,0.98,0,1.96,0,0,0,0.98,0,0,0.98,0
 84-94,0,1.06,1.06,0,1.06,0,0,0,2.12,0,0,2.12,0,0,0
 96-106,0,0,0,1.09,1.09,0,1.09,0,1.09,0,0,2.19,1.09,0,0
108-118,0,0,0,0,0,0,0,0,3.83,0,0,0,0.77,0,0
120,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,0,0
