stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
 36-46,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,2.3,0,0,0,0,0,1.15,0.57,1.72,0,0,0,2.3,0
 60-70,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,1.96,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,5.31,0,0,0,2.12,0,0,0,0,0,2.12,0,2.12,0,0,0,2.12,0
 96-106,0,2.19,1.09,0,1.09,1.09,0,0,0,1.09,0,4.37,1.09,1.09,0,0,0,12.02,0
108-118,0,6.13,0,0.77,0,0,0,0.77,0,0,0.77,0.77,3.06,0.77,0,0.77,0,1.53,0.77
120,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0
