stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,15,2,1,0,1,0,5,0,0,0,0,0,0,0,0,0,9,0,0,3,39,2,1,0,1,0,5,1,0,0,10,33,0,0,0,0,0
 24-34,0.82,0,0,0,16.42,0,9.03,0,4.1,0.82,4.93,0.82,0,2.46,0.82,0,0,0.82,0,0,19.7,0,0,9.85,284.84,0,12.31,4.1,0,0,27.09,0,3.28,0,2.46,100.14,0,0,5.75,0,0
 36-46,0,0,0,0,6.45,0,15.31,0,2.42,4.03,11.28,0,0,0.81,0,0,0,0.81,0,0.81,39.48,0,0,8.86,635.67,0.81,8.86,3.22,0,0.81,24.17,0,0,0,0,113.6,0,0,3.22,0,0
 48-58,0,0,0,0,6.31,0,98.12,0.57,4.59,2.87,35,0,0.57,0.57,0,0.57,0.57,0.57,0,1.72,59.1,0,1.15,10.33,907.76,1.72,5.74,1.15,0,0,9.75,0,0,0.57,0,153.78,0,0.57,3.44,0,0
 60-70,0,0,0,0,8.83,0,295.44,0,4.91,5.89,43.19,0,0,1.96,0,0,0.98,0,0,0.98,103.06,0,4.91,4.91,1237.7,0.98,10.8,4.91,0,0.98,18.65,0,0.98,0,0,162.93,0,1.96,8.83,0,0
 72-82,0,0,2.94,0,18.65,6.87,456.47,0,0.98,10.8,64.79,1.96,0,3.93,0,0.98,0,4.91,0,1.96,187.5,0,9.82,12.76,1268.31,0,10.8,8.83,0,3.93,13.74,0,0,0,0,113.87,1.96,4.91,13.74,5.89,0.98
 84-94,0,0,1.06,1.06,35.05,5.31,313.3,0,6.37,4.25,52.04,2.12,1.06,1.06,1.06,2.12,3.19,2.12,0,2.12,108.33,1.06,0,5.31,600.05,0,6.37,4.25,0,1.06,33.99,0,1.06,0,0,67.97,2.12,8.5,9.56,9.56,1.06
 96-106,0,0,1.09,0,15.3,2.19,215.29,1.09,1.09,2.19,65.57,6.56,0,4.37,1.09,2.19,3.28,4.37,1.09,1.09,100.54,0,3.28,7.65,544.24,0,17.49,9.84,0,4.37,30.6,0,1.09,0,0,41.53,0,4.37,17.49,4.37,2.19
108-118,0,0,0.77,0,33.7,1.53,157.79,1.53,4.6,3.83,50.55,4.6,0,1.53,1.53,1.53,6.89,5.36,2.3,0.77,78.89,3.06,3.83,5.36,581.37,0,13.02,13.02,0,2.3,10.72,0,0,0,0,22.21,2.3,2.3,14.55,3.06,0
120,0,0,1.96,0,23.52,9.8,164.62,1.96,13.72,1.96,41.16,3.92,0,0,0,0,1.96,3.92,0,0,56.83,1.96,5.88,5.88,697.68,0,21.56,3.92,0,1.96,13.72,0,1.96,0,0,29.4,1.96,5.88,7.84,1.96,0
