stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,24.52,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,52.57,2.63,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,22.03,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,3,2,1,0,0,0,0,0,0,0,2,0,0,3,13,1,1,0,1,0,4,0,5,8,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0.82,0,0,0,0,4.1,0,0,4.93,14.78,0,0,0,0,0.82,0,0,0.82,1.64,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,5.64,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,2.87,0,0,0,0,2.87,0.57,0.57,0.57,2.87,0,0.57,0,0,0.57,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0,3.93,0,0.98,0,0,0.98,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0,3.93,0,0,1.96,0,0.98,0,0,5.89,0,0,0.98,3.93,0.98,1.96,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,2.12,1.06,0,1.06,0,0,0,0,2.12,0,0,1.06,5.31,0,0,0,0,0,0,1.06,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,7.65,0,0,0,5.46,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,0.77,0,0.77,0,0.77,4.6,0,0.77,0,3.83,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0,0,0,1.96,0,0
