stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,2,0,2,0,5,0,0,0,0,1,0,5,123,2,0,0,1,0,5,1,3,11,42,0,0,0,0
 24-34,0,0,0.82,0,6.57,0,1.64,0,4.1,0,4.93,0,0,0,0,6.57,0,13.95,206.86,0,1.64,0.82,0,0,0,0,0,4.1,55.82,0,0.82,0,0
 36-46,0,0,0,0.81,1.61,0,8.06,0,0.81,0.81,1.61,0,0,0,2.42,4.03,0,0.81,229.62,0.81,0.81,0,0,0.81,0,0,0,0,62.04,0,0,0,0
 48-58,0,0,0,0,2.87,0,12.05,1.15,1.72,0,9.18,0,0,0,0.57,6.31,0,4.02,148.04,0,0,0,0,0,0,0,0.57,0,32.13,0,0,0,0
 60-70,0,0,0,0,3.93,0,14.72,0,0.98,1.96,17.67,0.98,0,0,0.98,9.82,0,3.93,220.84,0,0.98,0,0,0,0,0,1.96,0,24.54,0,0.98,0,0
 72-82,0,0,0,0,3.93,0,11.78,0,0.98,0.98,6.87,0,0,0,0,5.89,0,1.96,140.38,0,0,0,0,0,0,0.98,0,0,6.87,0.98,0.98,0,0
 84-94,0,0,0,0,3.19,0,9.56,0,0,0,5.31,0,1.06,0,0,8.5,0,2.12,40.36,0,0,1.06,0,3.19,0,0,0,0,4.25,0,0,1.06,0
 96-106,0,0,0,0,4.37,1.09,14.21,0,4.37,0,2.19,0,1.09,0,0,4.37,1.09,1.09,50.27,0,0,0,0,2.19,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,0,0,2.3,0,7.66,0.77,0.77,0,3.83,0,0,0.77,0,6.13,0,2.3,63.57,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,7.84,0,9.8,0,0,0,1.96,0,1.96,1.96,0,5.88,0,1.96,37.24,1.96,0,0,0,0,0,0,1.96,0,3.92,0,1.96,0,0
