stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,10.51,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,7.89,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,12.59,0,0,0,0,0
 14-21,0,0,246,3,22,0,0,1,0,0,1,0,112,0,1,1,0,0,0,3,4,0
 24-34,0,0,5.75,0.82,0.82,0,0,0,0,0,0,0.82,271.7,0,2.46,19.7,0,0.82,0.82,0,10.67,0
 36-46,0,0,2.42,0,4.03,26.59,0,0,0,0,1.61,0.81,161.13,0,0.81,8.86,0,0.81,0,0,8.06,0.81
 48-58,0,0,0,0,2.87,37.87,0,0,0,0,3.44,0.57,90.09,0.57,0,8.61,0,0.57,0,0,10.9,0
 60-70,0,0,0,0.98,0.98,46.13,0,0,0.98,0,1.96,0,49.08,0.98,0,1.96,0,0,0,0,3.93,0
 72-82,0,0,0.98,0,3.93,66.75,0,0,0,0,4.91,0,46.14,0,0,7.85,0,0.98,0,0,0,0.98
 84-94,0,0,2.12,1.06,9.56,37.17,0,0,0,0,3.19,0,30.8,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,1.09,5.46,33.88,0,0,0,0,2.19,0,25.14,0,0,6.56,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,28.34,0.77,0,0,0,3.06,0,32.94,0,0,1.53,0,0,0,0,0,0
120,0,0,1.96,0,1.96,29.4,0,0,0,1.96,0,0,41.16,0,0,3.92,0,0,0,0,0,0
