stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,109.17,0,0.82,1.64,0.82,0,0,0,0,0.82,0.82,0,0,0,11.49,0,0.82,2.46,107.53,2.46,0.82,1.64,0,12.31,0,0.82,22.16,0,0,1.64,0,0.82
 36-46,0.81,0,0,2.42,0,0,137.77,0.81,0.81,0.81,4.83,0,0,0,0.81,0,0,0.81,1.61,1.61,12.09,0,0,5.64,143.41,1.61,2.42,0,0.81,9.67,0,0,31.42,0,0,1.61,0,4.03
 48-58,0,0,0,1.72,0.57,0,122.79,1.15,0,1.15,8.03,0,0,0.57,0,0.57,0,0,0.57,0.57,16.07,0.57,1.15,3.44,91.81,0,0,0,0,5.16,0,0,19.51,0,0,2.3,0,1.15
 60-70,0,0,0,0.98,0,0,142.32,0,0.98,1.96,6.87,0,0,0,0.98,0,0,0,0,0,13.74,0,0.98,1.96,79.5,1.96,0,1.96,0,5.89,0,0,15.7,0,0,0.98,0.98,2.94
 72-82,0,0,0,4.91,2.94,0,98.17,0,1.96,3.93,6.87,0.98,0,0,1.96,2.94,0.98,0.98,0,0.98,23.56,0.98,0,2.94,60.86,0.98,0,0.98,0,6.87,0.98,0,8.83,0,0,2.94,0.98,2.94
 84-94,0,0,0,4.25,3.19,0,98.77,0,0,0,7.43,2.12,0,0,3.19,1.06,0,0,0,0,13.81,0,0,2.12,19.12,0,0,1.06,0,4.25,0,0,5.31,0,2.12,1.06,0,0
 96-106,0,0,0,5.46,0,1.09,79.78,0,1.09,0,1.09,0,0,1.09,0,0,0,0,2.19,0,7.65,1.09,0,1.09,26.23,1.09,1.09,0,0,3.28,0,0,2.19,0,0,1.09,0,1.09
108-118,0,0,0,2.3,2.3,0.77,98.04,0,1.53,1.53,4.6,0.77,0,0,2.3,1.53,2.3,0.77,0,0,21.45,0.77,0,1.53,28.34,0.77,0.77,0,0.77,7.66,0,0,0.77,1.53,1.53,0.77,1.53,2.3
120,0,0,0,7.84,0,1.96,92.11,0,1.96,1.96,11.76,0,0,0,7.84,0,0,1.96,1.96,0,15.68,0,0,1.96,39.2,1.96,0,3.92,0,7.84,0,0,0,0,0,0,0,0
