stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,10,1,0,0,2,0,0,0,0,0,1,0,3,32,0,0,0,0,0,1,6,0,1,10,9,0,1,0,0
 24-34,0,0,0.82,4.93,0.82,0.82,2.46,0,0,0.82,0,0,9.03,0,2.46,115.74,0,0,1.64,0,0,1.64,0,0,0,2.46,28.73,0,2.46,0,0
 36-46,0,0.81,0.81,6.45,0,0.81,5.64,0,0,0,0,0,7.25,0,3.22,124.88,0.81,0.81,0,0,0,1.61,0,0,0,0,39.48,0,2.42,0,0
 48-58,0,0,1.72,8.61,0,1.15,13.77,0,0,0,0,0,8.61,0,2.3,61.97,0,0,0,0,0.57,1.15,0,0,0,0,16.07,0,0,0,0
 60-70,0,0,0.98,14.72,0,1.96,17.67,0.98,0,0,0,0,14.72,0,0.98,91.28,0,0,0,0,0,0.98,0,0,0,0,12.76,0.98,2.94,0,0
 72-82,0,0,2.94,7.85,0.98,0,11.78,0,0,0,0,0,15.71,0,0.98,41.23,0,0,1.96,0,0.98,1.96,0,0,0,0,1.96,0,1.96,0,0
 84-94,0,0,3.19,11.68,0,0,4.25,0,0,0,0,1.06,15.93,0,0,16.99,0,0,0,0,0,4.25,0,1.06,0,0,1.06,0,3.19,1.06,0
 96-106,0,0,1.09,2.19,0,0,2.19,1.09,0,0,0,0,16.39,0,0,13.11,0,0,0,0,0,3.28,0,0,1.09,0,0,0,1.09,0,1.09
108-118,0,0,1.53,6.13,0.77,0,3.06,0,0,0,0.77,0,9.96,0.77,0.77,17.62,0,0,0.77,0,1.53,0.77,0,0,0,0,0,0,0,0,0
120,0,0,3.92,11.76,0,0,7.84,1.96,0,0,0,0,11.76,0,3.92,47.03,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
