stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,1354.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,24.52,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,47.32,55.2,0,0,157.72,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,1146.12,42.06,0,0,423.22,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,47.2,50.35,0,12.59,129.03,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,959.83,22.03,0,0,358.75,0,0,9.44,6.29,40.91,0,0,0,0,0,0,0
 14-21,0,0,0,20,5,7,0,0,8,2,0,0,0,0,0,0,0,1,11,0,0,6,155,4,1,1,3,0,0,1,26,2,0,21,67,0,1,0,0
 24-34,0,0,0.82,4.93,0,15.6,0,0,12.31,0.82,0,0,0,0.82,1.64,0,0,0,22.98,0,0,7.39,369.39,0,5.75,0.82,0,0,0.82,0,0,0.82,0,5.75,95.22,0,3.28,0,0
 36-46,0,0,0,0.81,0,67.68,0,0.81,9.67,0,0,1.61,0,0,0,0.81,0,0.81,21.75,0,0.81,3.22,424.59,0.81,4.03,0.81,0,0,0.81,0,0,0,0,0,81.37,0,4.03,0,0.81
 48-58,0,0,0,1.15,0,106.15,0,0,19.51,0,0,0.57,0,0,1.15,0.57,0,0,37.87,0,0.57,3.44,316.17,0,4.02,1.72,0,0,0.57,0.57,0,0,0.57,0,63.12,0,0.57,0,0
 60-70,0,0,0,0.98,0,123.67,0,1.96,14.72,0,0,0.98,0,0,0,0,0,0,27.48,0,0.98,3.93,274.83,0.98,5.89,0.98,0,0.98,0,0,0,0,0,0,33.37,0.98,1.96,0,0
 72-82,0,0,0,0.98,0.98,85.4,0,0.98,13.74,0,0,1.96,0.98,0,0,0.98,0,0,37.3,0,0.98,1.96,155.1,0,3.93,2.94,0,0,0,0,0,0,0,0,17.67,0,3.93,0,0
 84-94,0,0,0,4.25,0,73.28,0,2.12,13.81,0,0,0,1.06,0,0,1.06,2.12,0,37.17,1.06,2.12,10.62,99.83,0,1.06,3.19,0,1.06,6.37,0,0,2.12,0,0,12.74,0,3.19,1.06,0
 96-106,0,0,0,4.37,0,40.44,1.09,0,16.39,2.19,0,0,1.09,1.09,0,0,0,0,21.86,0,1.09,2.19,74.31,0,2.19,2.19,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,1.53,4.6,1.53,27.57,0.77,0.77,8.43,0.77,0,0.77,1.53,0,0,0,0,0.77,16.85,0,0.77,3.06,81.96,0,2.3,0.77,0,0.77,2.3,0,0,0,0,0,0,0,2.3,0,0
120,0,0,0,5.88,0,23.52,0,0,3.92,1.96,0,0,0,0,0,0,1.96,0,13.72,0,0,1.96,64.67,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96
