stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,3,1,0,0,0,0,0,1,0,0,0,10,0,1,1,0,0,3,1,5,0,0,0,0
 24-34,0,0,3.28,1.64,0.82,0,2.46,0,0,0,0.82,0.82,0,2.46,0,0,0,33.66,0.82,0.82,0.82,0,1.64,2.46,0,12.31,0,0.82,0,0
 36-46,0,0,0,6.45,0,0,1.61,0,0,0,0,0,0,4.83,1.61,0,0.81,42.7,1.61,0,0.81,0,0.81,0.81,0,8.86,0,0,0,0.81
 48-58,0,0,0,16.07,0,0,5.74,0,0,0.57,0,0.57,0,4.59,0.57,0,1.15,51.64,0.57,1.15,0,0.57,0.57,0,0,8.03,0,0.57,0,0
 60-70,0,0,0.98,9.82,0.98,0,3.93,0,0,0.98,0,0.98,0,12.76,0,1.96,0,37.3,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,3.93,16.69,0,0.98,4.91,0,0,3.93,0,0.98,0,35.34,0,0,2.94,35.34,0,2.94,3.93,0,0.98,0,0,3.93,0,0,0,0
 84-94,0,0,5.31,14.87,1.06,0,2.12,1.06,0,1.06,0,0,1.06,13.81,0,0,3.19,15.93,0,2.12,0,1.06,2.12,1.06,0,0,0,2.12,1.06,0
 96-106,0,0,0,9.84,0,0,1.09,2.19,0,2.19,0,2.19,0,26.23,0,1.09,1.09,10.93,0,2.19,2.19,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0.77,2.3,7.66,0,0,3.83,2.3,0,2.3,0,0.77,0,13.02,0,0,1.53,14.55,0,1.53,2.3,0,0,0,0,0.77,0.77,0.77,0,0
120,0,0,7.84,17.64,1.96,0,17.64,0,1.96,1.96,0,0,0,3.92,3.92,1.96,0,35.28,0,5.88,3.92,0,1.96,1.96,0,0,1.96,0,0,0
