stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,1,6,0,10,0,0,0,351,0,1,2,1,0,1,0,0
 24-34,0,0,0,13.13,0.82,2.46,0,0,0,0,0,23.8,0,0,1.64,2.46,50.07,3.28,53.36,0,0,0,586.09,0,0,0.82,8.21,0,0.82,0,0
 36-46,0,0,0,10.47,0,1.61,3.22,0.81,0,0,0,12.89,0,0,0,6.45,53.17,0,75.73,0.81,0,0,559.94,0.81,0,0,4.03,0,0,0,0
 48-58,0,0,0,5.74,0,11.48,7.46,0,2.3,0.57,0,9.75,0.57,0,0,4.02,49.35,0,36.72,0,0,0,496.34,0,0,0,6.31,0,0,0,0.57
 60-70,0,0.98,0,4.91,0,8.83,3.93,0,0.98,0,0,9.82,0,0,0,5.89,51.04,0,12.76,0,0,0,309.18,0,0,0,0.98,0,0.98,0,0.98
 72-82,0,0,0,5.89,0,6.87,5.89,0,1.96,0,2.94,6.87,0,0,0.98,7.85,80.5,0.98,5.89,0.98,0,0,267.99,0,0,0,0.98,1.96,0,0,0
 84-94,0,0,0,9.56,1.06,2.12,10.62,0,0,1.06,1.06,6.37,0,0,0,9.56,78.59,1.06,6.37,0,0,0,697.76,0,0,0,1.06,7.43,0,0,0
 96-106,0,0,0,5.46,3.28,5.46,7.65,0,1.09,3.28,0,10.93,0,1.09,0,7.65,78.68,0,7.65,0,0,0,491.78,0,0,0,0,4.37,0,0,0
108-118,0,0,0,3.06,0,0.77,8.43,0,0.77,0,0.77,6.89,0,0.77,0,3.83,53.62,0.77,11.49,0.77,0,0.77,394.47,0,0,0,0,2.3,0,0.77,0
120,0,0,0,5.88,0,1.96,9.8,0,0,0,3.92,1.96,0,0,0,5.88,39.2,1.96,0,0,0,0,192.06,0,0,0,0,0,0,0,0
