stage,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,0,1,0,18,2,0,0,0,0,1,0,15,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,4.1,0,0,0,0,0,0,0,4.93,0,0,0
 36-46,0.81,0,0,0.81,1.61,0,0,0.81,2.42,1.61,9.67,0,1.61,0,0,0,2.42,0,4.83,0.81,0,0.81
 48-58,0,0,0.57,0,1.72,0.57,0,0,2.3,0.57,0.57,0,0,0,0,0,0,0,2.3,0,0.57,0.57
 60-70,0,0,0,0,1.96,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,1.96,0,2.94,0,0,0,0,0.98,0.98,0,4.91,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0,0,0,2.12,0,1.06,0
 96-106,0,0,0,1.09,4.37,0,0,0,1.09,0,2.19,0,1.09,0,0,0,1.09,0,1.09,0,0,0
108-118,0,0.77,0,0,2.3,0,0,0,0,0,2.3,0,1.53,0,0,0.77,0.77,0.77,3.83,0,0,0
120,0,0,0,1.96,15.68,0,1.96,0,5.88,0,9.8,0,3.92,1.96,0,1.96,0,0,3.92,0,0,0
