stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0
 14-21,0,10,7,0,0,5,0,1,0,0,0,0,0,0,1,0,0,6,14,0,1,0,1,0,0,57,27,1,0,0,1
 24-34,0,23.8,0,0.82,0.82,53.36,0,3.28,0,0,0,0.82,3.28,0,8.21,0,0,7.39,26.27,0.82,9.85,0,4.93,0,0,15.6,13.13,6.57,0,0,0.82
 36-46,0,6.45,0.81,3.22,0,74.12,1.61,1.61,0,0.81,0,0,1.61,0,15.31,0,0,3.22,25.78,0,7.25,0,0,0,0.81,3.22,0,4.83,0,0,0.81
 48-58,0,6.89,0,6.31,0.57,96.97,0,2.3,0,0,0,0,1.15,0,10.33,0,0,2.3,14.92,0.57,9.75,0,0,0,0,0,0,3.44,0,0,0
 60-70,0,6.87,0,0,1.96,95.21,0.98,2.94,0,0,0.98,0.98,0.98,0,13.74,0,0.98,0.98,5.89,1.96,4.91,0,0.98,0,0,0,0,0.98,0,0,0.98
 72-82,0,8.83,0,0.98,0.98,104.06,0,2.94,0.98,0,0,0,0,0,16.69,0,0,2.94,4.91,0.98,10.8,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,19.12,0,4.25,2.12,176.3,1.06,2.12,0,0,0,2.12,0,0,10.62,0,0,3.19,2.12,0,10.62,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,12.02,0,5.46,0,135.51,3.28,1.09,2.19,0,2.19,0,2.19,0,12.02,0,0,8.74,2.19,0,16.39,0,1.09,0,1.09,0,0,2.19,0,1.09,1.09
108-118,0,15.32,0,3.06,0.77,179.24,0.77,2.3,2.3,0,0.77,3.83,0,0.77,4.6,1.53,0.77,9.96,3.83,0.77,9.96,0,0,0.77,0,0.77,0,0,0,0,0.77
120,0,27.44,0,0,1.96,109.75,0,1.96,0,0,0,0,0,0,7.84,0,0,13.72,1.96,3.92,15.68,0,0,0,0,0,0,0,0,0,0
