stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,lateral.line,melanocytes,mesenchyme,neural,otic,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0.57,2.87,0,2.87,0,0,0.57,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0.98,0,0,0.98,0
 72-82,0,0,0,0.98,1.96,0,0.98,0.98,0.98,0.98,0,1.96,2.94,0,1.96,0,0,0,0
 84-94,0,0,0,5.31,3.19,0,0,1.06,0,0,0,1.06,2.12,0,4.25,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,2.19,3.28,1.09,13.11,0,0,0,0
108-118,0,0,0,3.06,0,1.53,0,0,0,0,0,0.77,0,0,9.96,0,0,0,0
120,0,0,0,5.88,0,1.96,3.92,0,0,0,0,0,1.96,1.96,7.84,0,0,0,0
