stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,1,0,0,0,0,34,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,1.64,364.46,0,5.75,0,0,1.64,0,88.65,0,0,1.64,0
 36-46,0,0,0.81,0,0,49.95,0,0.81,3.22,0,0,0,0,0,0,0,1.61,0,0.81,938.6,0.81,5.64,0,0,0,0,165.97,0,0,1.61,0.81
 48-58,0,0,3.44,0,0,104.43,0,0.57,8.61,0,0,0,0,0,0,0,2.3,1.72,1.15,979.48,0,5.16,0.57,0,1.15,0,201.98,0,0,0.57,1.72
 60-70,0,0,0.98,0,0,141.34,0,0,1.96,0,0,0,0,0,0,0,6.87,0,0.98,894.17,0,3.93,0,0,2.94,0,125.63,0,0,0.98,1.96
 72-82,0,0,3.93,0,0,113.87,0,0,5.89,0.98,0,1.96,1.96,0,0,0,9.82,0,0.98,583.11,0,1.96,0.98,0,0,0,68.72,0,0,0,0
 84-94,0,1.06,3.19,0,0,88.15,0,0,9.56,0,0,0,1.06,0,0,1.06,3.19,1.06,1.06,299.49,0,2.12,0,0,1.06,0,35.05,0,1.06,0,0
 96-106,0,0,5.46,2.19,0,33.88,0,0,8.74,1.09,0,0,0,0,1.09,0,9.84,0,0,180.32,0,1.09,0,0,1.09,0,10.93,0,0,2.19,0
108-118,0,0,2.3,0.77,0.77,37.53,0,0,4.6,0,0,0.77,0.77,0.77,0.77,0,3.83,0,1.53,187.66,0,0.77,0,0,0,0,4.6,0.77,0,0.77,0
120,0,0,1.96,1.96,0,39.2,0,0,5.88,0,0,0,0,0,0,0,7.84,0,0,166.58,0,1.96,0,0,0,1.96,3.92,0,0,1.96,0
