stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,3,1,0,2,0,1,0,0,0,4,1,0,0,0,0,0,6,0,0,1,111,1,2,1,1,0,0,0,1,7,73,0,0,0,0,1
 24-34,0,0,4.93,0,3.28,0.82,0,18.88,0,0,0.82,4.1,0,4.93,2.46,0.82,0,0.82,0,0,3.28,0,0,0.82,656.68,0.82,14.78,8.21,0,0,0.82,0,2.46,1.64,223.27,0,0,0.82,0,0
 36-46,0,0,0.81,0,3.22,0,0,37.87,0,0,0.81,4.83,0,3.22,0,0.81,0,0.81,0,0.81,4.03,0,0,0,1453.43,0.81,18.53,2.42,0,0,0.81,0,0,0,355.3,0,0,0.81,0,0
 48-58,0,0,0,0,9.75,0,0,207.72,0,1.72,1.72,21.8,0,1.15,0.57,0,0.57,3.44,0,0.57,16.64,0,1.15,0.57,1738.05,0.57,9.18,8.03,0,0,2.3,0,1.15,0,335.68,0,0,1.15,0,1.72
 60-70,0,0,0.98,0,8.83,0.98,0,689.03,0,1.96,1.96,38.28,0,1.96,1.96,0.98,0.98,5.89,0.98,0,16.69,0,0,0.98,2883.71,1.96,11.78,12.76,0.98,0,3.93,0,1.96,0,404.39,0,0.98,1.96,0,2.94
 72-82,0,0,2.94,0,19.63,7.85,0,1271.25,0,1.96,6.87,63.81,4.91,0.98,6.87,0,0.98,10.8,0,0.98,60.86,1.96,1.96,6.87,3002.9,0.98,25.52,29.45,0,0,5.89,0.98,0.98,0,258.18,4.91,2.94,3.93,1.96,3.93
 84-94,0,0,4.25,0,33.99,6.37,0,885.74,1.06,2.12,3.19,78.59,5.31,0,6.37,0,4.25,13.81,2.12,1.06,37.17,4.25,2.12,2.12,1682.27,0,27.61,47.79,0,1.06,9.56,0,1.06,0,151.87,3.19,4.25,4.25,2.12,1.06
 96-106,0,0,2.19,0,22.95,5.46,0,778.11,1.09,0,3.28,74.31,7.65,1.09,6.56,0,2.19,34.97,1.09,0,40.44,4.37,2.19,4.37,1423.98,0,22.95,54.64,0,0,16.39,0,2.19,0,87.43,3.28,0,4.37,2.19,5.46
108-118,0,0,0.77,0,20.68,2.3,0,582.13,1.53,0,0.77,54.38,4.6,1.53,6.13,0.77,0,16.09,3.06,0.77,19.92,1.53,0,4.6,1570.22,0,22.21,39.83,0,0,3.83,0,1.53,0,58.98,3.06,0,3.83,2.3,0
120,0,0,0,0,27.44,3.92,1.96,478.19,0,0,0,62.71,7.84,1.96,7.84,0,0,23.52,1.96,0,17.64,0,1.96,3.92,1822.6,0,27.44,37.24,0,0,3.92,0,0,0,56.83,1.96,1.96,0,0,0
