stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,23.66,0,15.77,0,0,0,13.14,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,423.22,5.26,0,0,141.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211.58,15.73,0,0,154.2,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,1272,20,0,22,0,3,0,5,2,2,6,0,5,0,0,1,107,2,0,108,254,11,0,8,4,0,0,1,40,2,51,60,0,0,3,0,0
 24-34,0,0,0.82,0,408.79,2.46,0,10.67,0,23.8,3.28,3.28,0,0.82,12.31,0,0.82,0,4.93,0,173.2,2.46,0,100.14,131.34,2.46,1.64,0,0,0.82,0,0,0,0,5.75,32.83,0,0,15.6,0,0
 36-46,0,0,0,0,106.35,1.61,0,10.47,0,26.59,10.47,19.34,0,0,9.67,0,0.81,0.81,1.61,0,211.89,0.81,5.64,103.93,145.83,8.06,2.42,0,0,0,0,0,0.81,0,0,40.28,0,0.81,11.28,0,0
 48-58,0,0,0,0,62.54,0,0,24.1,0,41.31,21.8,12.05,0,0,14.35,0,0,0,1.15,0,249.03,1.15,8.03,56.81,99.27,5.74,1.72,0,0,1.15,0.57,0,0,0,0,32.71,0,2.3,12.62,0.57,0
 60-70,0,0,0,0,53.98,0,0,17.67,0,37.3,13.74,32.39,0,0,15.7,0,0.98,0,3.93,0.98,392.61,0,19.63,52.02,62.82,9.82,1.96,0.98,0,3.93,0,0,0,0,0,14.72,0,12.76,8.83,5.89,0.98
 72-82,0,0,0.98,0,72.64,0,0,34.36,0,46.14,39.27,53.99,2.94,0,23.56,0,0,0,6.87,0,643.97,0,24.54,43.19,90.31,5.89,4.91,0.98,0,4.91,0,0,0,0,0,13.74,0,20.61,29.45,14.72,0.98
 84-94,0,0,0,0,152.93,2.12,0,39.3,0,73.28,16.99,36.11,0,0,15.93,1.06,1.06,0,7.43,0,395.08,0,25.49,30.8,43.54,14.87,2.12,1.06,0,5.31,0,0,0,0,0,11.68,2.12,13.81,26.55,21.24,0
 96-106,0,0,0,0,137.7,2.19,0,43.71,1.09,54.64,29.51,61.2,6.56,0,39.34,2.19,2.19,1.09,8.74,2.19,525.66,0,40.44,38.25,65.57,15.3,4.37,0,0,6.56,2.19,0,0,0,0,9.84,1.09,12.02,37.16,20.76,0
108-118,0,0,0,0.77,103.41,1.53,0.77,19.92,0,73.53,13.79,39.83,6.89,0,15.32,1.53,2.3,0.77,3.83,0,391.41,0,29.11,20.68,43.66,19.92,5.36,1.53,0,8.43,0.77,0,0,0,0,6.13,0,12.26,28.34,12.26,0
120,0,0,0,0,109.75,0,0,25.48,0,41.16,19.6,41.16,7.84,0,9.8,1.96,1.96,0,0,0,268.49,1.96,17.64,9.8,48.99,35.28,1.96,0,0,9.8,1.96,0,0,0,0,15.68,1.96,15.68,5.88,9.8,0
