stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vasculature,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.78,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,18.4,47.32,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,18.88,15.73,3.15,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,22,0,0,0,1,0,3,0,0,0,0,12,0,0,0,0,0
 24-34,0,0,0,6.57,0,0,0,0,0,52.53,0,0,0,0,0.82,9.03,0,0,0.82,0,0.82,0,0.82,0,5.75,0
 36-46,0,0,0,0,0,0,0,0,0,47.53,0,0,0,0,0,26.59,0,2.42,0,0,0.81,0,1.61,0,6.45,0
 48-58,0,0,0.57,0,4.59,0,0,0.57,0,52.22,0,0,0,1.72,0,38.44,0,0.57,0,0,0,0,5.16,0,12.62,0
 60-70,0,0,0.98,1.96,5.89,0,0,0,0,47.11,0,0,0,0.98,0,63.8,0,0,0,0,0,0,7.85,0,25.52,0
 72-82,0,0.98,0,3.93,14.72,0,0,1.96,0.98,96.2,0,0,0,5.89,0,69.7,0,0,0,0,0.98,0,3.93,0.98,30.43,0.98
 84-94,0,0,1.06,1.06,5.31,0,0,0,1.06,141.25,0,0,0,3.19,0,32.92,0,0,2.12,0,0,0,1.06,0,27.61,0
 96-106,0,0,2.19,2.19,10.93,1.09,0,2.19,0,169.39,1.09,0,1.09,3.28,1.09,36.06,0,0,0,0,1.09,0,2.19,0,40.44,0
108-118,0,0,0,0,3.06,0,1.53,1.53,1.53,141.7,0.77,0.77,0,6.13,0,34.47,0,0,2.3,0,0,0,1.53,0,33.7,0
120,0,0,1.96,5.88,13.72,0,0,1.96,0,162.66,0,0,0,0,1.96,66.63,0,0,0,0,0,0,3.92,0,31.36,0
