stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,5.26,0,0,0,0
 10-12,0,6.29,0,0,0,6.29,0,0,0,0,3.15,0,0,0,3.15,0,0,0,37.76,0,0,0,9.44,0,0,0,0,3.15,0,0
 14-21,0,1,15,1,0,9,0,0,0,2,1,0,18,0,0,2,2,3,26,0,0,1,0,0,15,0,2,0,11,0
 24-34,0,0,5.75,0,0,7.39,0.82,0,0.82,0.82,0,0,77.98,0,0,5.75,16.42,0.82,16.42,0,0,0,0,0,61.56,0,0,0,4.93,0
 36-46,0,0,2.42,0,0,3.22,0,0.81,0,0,0,0,27.39,0,0,1.61,4.03,0,12.09,0.81,0,0,0,0,58.01,0,0,0,1.61,0
 48-58,0,0,1.72,0,0,1.15,0,0,0,0,0.57,0,8.03,0,0,0.57,0,0.57,4.59,0,1.15,0,0,0,33.85,0,0,0,1.72,0
 60-70,0,0,2.94,0,0,0.98,0.98,0,0,0,0,0,9.82,0,0,0.98,0,0.98,6.87,0,0,0.98,0,0,50.06,0,0,0,0,0
 72-82,0,0,4.91,0,0,5.89,0,0,0.98,0,0,0,18.65,0,0,0,0,0,6.87,0,0,0,0,0,40.25,0,0,0,0,0
 84-94,0,0,7.43,0,1.06,0,1.06,0,1.06,0,0,0,48.85,0,0,3.19,3.19,0,4.25,0,0,0,0,0,97.71,0,0,0,1.06,1.06
 96-106,0,0,12.02,0,0,4.37,0,0,0,0,0,1.09,37.16,0,0,2.19,4.37,0,5.46,0,0,1.09,0,1.09,57.92,0,0,1.09,1.09,0
108-118,0,0,6.13,0,0,0.77,1.53,0,0,0,0,0,39.06,0.77,0,0,3.83,0,5.36,0,0,0,0,0,35.23,0,0,0,0,0
120,0,0,15.68,1.96,1.96,0,1.96,0,0,0,0,1.96,27.44,0,1.96,0,1.96,0,3.92,0,0,0,0,0,39.2,0,0,1.96,0,0
