stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,26.29,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,31.47,0,0,12.59,0,0,3.15,0,0,0
 14-21,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,19,0,1,0,1,4,0,11,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0.82,11.49,0,0,0,0,0,0.82,3.28,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0.81,0,0,0,10.47,0.81,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,0.57,0,0,0.57,0,0,1.15,0,7.46,0,0,0,0.57,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,1.96,0.98,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0.98,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0,5.89,2.94,1.96,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,0,2.12,1.06,0,2.12,0,0,0,0,0,0,0,6.37,1.06,2.12,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,2.19,0,1.09,1.09,1.09,0,0,0,0,0,0,5.46,3.28,1.09,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0.77,0,0,2.3,0.77,0,0,1.53,0,0.77,0,7.66,1.53,0.77,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0
