stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,3,0,1,4,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,10.67,0,0,0,0,7.39,0,0,0.82
 36-46,0,0.81,0,0,0,0,0.81,0,0,0,0,0.81,1.61,0.81,0,41.09,0.81,3.22,0,0,11.28,0,0,0
 48-58,0,0,0,1.15,0,0.57,0.57,0,0.57,0,0,0.57,0,0,0,17.79,0.57,1.15,0,0,4.02,0,0,0
 60-70,0,0.98,0,9.82,0,0,0.98,0,0,0,0,0.98,0.98,0,0,31.41,0,0.98,0,0,4.91,0,0,0
 72-82,0,0,0,6.87,0,0,0.98,0,0,0,0,0,7.85,0,0.98,8.83,0,2.94,0,0,0,0,0,0
 84-94,0,0,0,7.43,0,0,0,0,1.06,0,1.06,0,2.12,0,0,6.37,1.06,4.25,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,0,1.09,1.09,0,0,0,1.09,1.09,0,3.28,1.09,6.56,1.09,0,0,1.09,1.09,0
108-118,0,3.06,0,1.53,0,0,0,0.77,0,0.77,0.77,0.77,4.6,0.77,0.77,2.3,0.77,3.06,0,0,0,0,0,0.77
120,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,9.8,0,0,11.76,0,1.96,0,0,1.96,0,0,0
