stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,2003.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,245.19,4045.56,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,6.13,0,0,6.13,0,85.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,136.69,181.38,0,586.2,0,0,0,701.87,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,5872.55,131.44,0,0,757.07,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,242.32,0,6.29,0,81.82,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,994.44,53.5,0,0,248.61,0,3.15,3.15,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,11,42,5,0,7,0,0,0,5,0,0,0,0,0,0,29,0,0,16,92,6,0,1,1,0,0,0,6,3,20,96,75,0,0,0,0,0
 24-34,0.82,0,0,10.67,34.48,1.64,0,7.39,4.93,0,0,0.82,0,6.57,2.46,0,0,3.28,53.36,0.82,0,22.98,64.85,0,0,0.82,0,0.82,0,0,0,7.39,1.64,5.75,28.73,0,0,4.1,0,0
 36-46,0,0,0,0.81,15.31,0.81,0,3.22,4.83,0,1.61,0,0,4.03,1.61,0,0,0.81,33.84,0,5.64,9.67,44.31,1.61,0.81,0,0,0,0,0,0,8.06,0.81,0,10.47,0,0,2.42,0,0.81
 48-58,0,0,0,0,11.48,0,0,4.59,8.03,1.15,2.3,1.15,0,4.02,2.87,1.15,1.72,1.15,21.8,0,1.72,6.89,20.08,0,0.57,0,0,0,0,0,0,5.74,0,0,7.46,0,0,2.87,0,0
 60-70,0,0,0,0,17.67,0,0,12.76,10.8,0,1.96,1.96,0,1.96,7.85,0.98,4.91,0,22.58,0.98,0,0.98,16.69,0,0,0,0,0,0,0,0,7.85,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0.98,0,39.27,1.96,0,30.43,5.89,0.98,1.96,5.89,0,0,14.72,0,0.98,0.98,34.36,0,7.85,9.82,38.28,0.98,0,0,0,0.98,0,0,0,4.91,0,0,4.91,0.98,0,1.96,1.96,0
 84-94,0,0,0,0,63.72,0,0,59.47,11.68,0,0,3.19,0,0,15.93,0,3.19,0,23.36,0,2.12,2.12,21.24,0,0,0,0,0,1.06,0,0,9.56,0,0,3.19,5.31,1.06,2.12,1.06,0
 96-106,0,0,0,0,51.36,2.19,0,80.87,10.93,0,2.19,2.19,0,1.09,36.06,1.09,0,1.09,26.23,1.09,9.84,0,28.41,0,0,0,0,0,3.28,0,0,12.02,0,0,0,14.21,1.09,10.93,5.46,1.09
108-118,0,0,0,0,71.23,0.77,0.77,109.53,13.79,0,0.77,9.19,0,0,28.34,2.3,3.83,0,24.51,0.77,6.89,5.36,29.87,0.77,0,0,0,0,0.77,0,0,10.72,0,0,0,30.64,0,5.36,3.06,0.77
120,0,0,0,0,78.39,0,0,45.08,5.88,1.96,0,5.88,0,1.96,31.36,0,0,0,19.6,0,3.92,5.88,23.52,0,0,0,0,0,1.96,1.96,0,0,0,0,3.92,5.88,0,7.84,1.96,0
