stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,liver,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,105.42,2701.48,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,98.07,1207.54,0,0,0,0,0,0,30.65,0,6.13,42.91,0,0,0,0,0,0
  7-9,15.77,5.26,15.77,0,36.8,0,21.03,0,310.19,18.4,160.35,2.63,2.63,0,0,0,0,0
 10-12,0,0,6.29,0,9.44,0,0,0,59.79,3.15,25.18,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,0,2,0,0,10,1,0,1,0,0,1,3,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,1.64,1.64,0,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
