stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,9,5,7,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,9.03,0,10.67,0,0,166.63,0,0,0,3.28,0.82,0.82,0,3.28,0,2.46,1.64,1.64,9.85,0,0,3.28,150.22,1.64,0.82,0,8.21,1.64,1.64,19.7,0,0,1.64,0,0
 36-46,0,3.22,0,2.42,0,0,190.14,0,0,0.81,4.03,0,1.61,0,0.81,0,0,0.81,1.61,20.14,0,0.81,3.22,167.58,2.42,3.22,1.61,6.45,0,0,41.09,0,0,3.22,0,4.83
 48-58,0,1.72,0,0.57,0,0,142.88,0,1.15,0,12.05,0.57,0.57,0,1.15,0.57,0,0,0.57,16.64,0.57,0,2.3,84.35,1.72,0.57,0,3.44,0,0,32.71,0,0,0.57,0,1.72
 60-70,0,2.94,0,3.93,0,0,154.1,0,0.98,0.98,3.93,2.94,0.98,0,0,0.98,0,0,0,9.82,0,0,0,63.8,0,0,0.98,2.94,0,0,9.82,0,0,0,0,0
 72-82,0,2.94,0,2.94,0.98,0,124.67,0.98,0.98,0.98,6.87,0.98,0.98,0,0,0.98,0.98,0,0,23.56,0.98,0,0.98,42.21,0.98,0.98,1.96,4.91,0,0,4.91,0,0.98,1.96,0.98,0
 84-94,0,2.12,0,1.06,1.06,0,113.64,0,0,1.06,2.12,4.25,1.06,0,1.06,1.06,0,1.06,1.06,8.5,0,0,1.06,21.24,0,0,0,1.06,0,0,2.12,2.12,0,0,0,1.06
 96-106,0,3.28,0,2.19,1.09,1.09,85.24,0,0,1.09,2.19,3.28,0,0,0,0,0,1.09,0,13.11,0,1.09,2.19,14.21,0,0,1.09,6.56,0,0,1.09,2.19,0,2.19,2.19,0
108-118,0,3.06,0,3.83,3.06,0,93.45,0,0,0.77,1.53,5.36,0,0,2.3,0,0.77,0.77,0,10.72,0.77,0.77,0.77,32.17,0.77,0,1.53,2.3,0,0,0.77,2.3,0.77,2.3,0,0
120,0,0,0,3.92,1.96,0,82.31,0,0,0,3.92,1.96,1.96,3.92,0,0,1.96,0,0,15.68,0,0,1.96,31.36,0,0,0,0,0,0,0,1.96,0,0,0,0
