stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,105.42,2846.43,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0
  5-6,153.24,2237.32,6.13,0,0,0,0,0,0,0,0,73.56,36.78,0,30.65,67.43,0,0,0,0,0,0
  7-9,31.54,42.06,39.43,0,0,76.23,0,52.57,0,0,0,778.1,15.77,0,318.07,10.51,13.14,0,0,0,0,0
 10-12,0,12.59,18.88,0,0,31.47,0,6.29,0,0,0,239.17,0,0,91.26,0,6.29,0,0,0,3.15,0
 14-21,0,0,1,5,1,1,1,0,1,1,1,15,1,0,0,1,1,4,1,1,4,13
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0.82,1.64,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0,0.57,0,0.57,0.57,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
