stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vascular.smooth.muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,4.1,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0.81,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.72,0.57,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98,1.96,2.94
 72-82,0,0,0,0,0.98,0,1.96,0.98,0,0,0.98,0,0,1.96
 84-94,0,0,0,0,3.19,0,0,1.06,0,0,0,1.06,0,9.56
 96-106,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,14.21
108-118,0,0,0.77,0.77,0.77,0,0,0,0,0,2.3,0.77,0,29.87
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,17.64
