stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,12.59,0,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,29,4,0,7,0,0,0,1,0,0,0,0,0,0,12,0,0,8,44,71,0,0,1,0,0,0,2,11,2,3,21,0,0,0,0,0
 24-34,0,0,0,1.64,73.88,0.82,0,15.6,0.82,0,4.1,4.1,0,0,1.64,0.82,1.64,0,49.25,0,0.82,22.98,100.97,16.42,0,1.64,0,0,1.64,0,0,16.42,0,2.46,19.7,0,0,3.28,0,0.82
 36-46,0,0,0,1.61,57.2,0,0,8.86,2.42,1.61,16.11,9.67,0.81,0,0.81,0,4.03,0,86.21,0.81,1.61,24.17,81.37,20.95,0,1.61,0,0,2.42,0,0,16.92,0,0.81,37.06,0,0.81,0.81,0,0
 48-58,0,0,0,1.15,57.38,0,0,14.92,2.3,4.02,19.51,10.9,0.57,0,0,0,9.18,0,95.25,0,4.02,14.92,36.15,9.18,0,1.72,0,0.57,1.15,0,0,16.07,0,0,12.05,0,0.57,0,0,1.15
 60-70,0,0,0,0,76.56,0.98,0,16.69,10.8,0.98,42.21,7.85,0,0.98,0,0,26.5,0,146.25,0,7.85,13.74,25.52,7.85,0,0.98,0,0,0.98,0,0,20.61,0,0,4.91,0,4.91,0.98,1.96,0
 72-82,0,0,3.93,0.98,85.4,0,0.98,35.34,7.85,4.91,36.32,16.69,0,0,2.94,0,114.85,0,137.43,1.96,2.94,22.58,25.52,2.94,0,7.85,0,1.96,1.96,0,0,49.08,0,0,3.93,0,6.87,0.98,2.94,0
 84-94,1.06,0,1.06,1.06,189.04,2.12,2.12,26.55,23.36,0,18.05,13.81,3.19,1.06,3.19,1.06,401.45,0,92.4,3.19,4.25,14.87,24.43,4.25,1.06,1.06,0,0,1.06,0,0,105.14,0,0,2.12,4.25,4.25,1.06,6.37,0
 96-106,0,0,0,0,142.07,1.09,2.19,31.69,19.67,2.19,18.58,10.93,1.09,0,1.09,0,648.06,1.09,84.15,2.19,2.19,8.74,87.43,5.46,2.19,1.09,0,2.19,7.65,0,0,108.19,1.09,0,4.37,1.09,3.28,4.37,5.46,1.09
108-118,0,0,0.77,0,206.04,0.77,2.3,32.94,22.98,6.13,24.51,17.62,0,0,0,0,1220.18,0,75.83,0.77,3.06,8.43,77.36,6.13,0.77,3.06,0,0.77,4.6,0,0,93.45,0,0,2.3,1.53,1.53,1.53,2.3,0.77
120,0,0,0,0,237.13,1.96,0,29.4,27.44,3.92,25.48,13.72,0,1.96,0,0,587.94,0,72.51,5.88,1.96,9.8,58.79,0,0,5.88,0,1.96,5.88,1.96,0,64.67,0,0,1.96,0,1.96,0,0,0
