stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,39,5,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,18,0,1,0,0,3,11,0,0,1,10,0,0,0,0,0
 24-34,0,105.89,0,0,0.82,0,9.85,0,0.82,0.82,0.82,0,0,1.64,0,0,1.64,1.64,0,0.82,152.68,0.82,9.03,0,0,1.64,0,0.82,0,3.28,31.19,0,0,0,0,0
 36-46,0,46.73,0,0,1.61,0,6.45,0,2.42,0,2.42,0,0,1.61,0,0,2.42,0.81,0,0.81,277.96,0.81,5.64,0,0,1.61,0,0,0,0,66.06,0,0,1.61,0,0
 48-58,0,38.44,0,0,18.94,0.57,6.31,0,4.02,0,0.57,0,0,0.57,0,1.15,4.02,1.15,0,1.72,320.18,0,4.59,1.15,0,1.15,0,0.57,0.57,0,54.51,0,0,1.15,0,0
 60-70,0,39.26,0,0,81.47,0,5.89,0,7.85,0,6.87,0,0,0.98,0.98,0.98,12.76,0.98,0,0.98,736.14,0,9.82,0,1.96,0.98,0,0,0,0,75.58,0,0,3.93,0,0
 72-82,0,47.12,1.96,0,119.76,0,5.89,0.98,12.76,0.98,10.8,0,0.98,3.93,0.98,0,15.71,1.96,0,0,669.49,0,9.82,0.98,0,1.96,0,1.96,0,0,31.41,4.91,4.91,25.52,0.98,2.94
 84-94,0,73.28,4.25,0,94.52,0,8.5,2.12,11.68,1.06,4.25,0,2.12,4.25,1.06,0,12.74,1.06,2.12,3.19,341.98,0,6.37,1.06,2.12,3.19,0,2.12,0,0,23.36,6.37,2.12,20.18,5.31,0
 96-106,1.09,48.09,2.19,0,106.01,0,3.28,0,10.93,4.37,14.21,0,0,8.74,5.46,0,14.21,1.09,0,0,339.88,0,7.65,2.19,7.65,2.19,0,4.37,1.09,0,13.11,18.58,5.46,39.34,6.56,1.09
108-118,0.77,70.47,2.3,0.77,72.77,0,6.89,1.53,9.19,4.6,9.19,0.77,0.77,5.36,6.13,0,10.72,0,2.3,0.77,382.22,0.77,7.66,0,4.6,3.83,0,7.66,0,0,8.43,17.62,3.06,31.4,0.77,0
120,0,56.83,5.88,0,70.55,0,5.88,1.96,7.84,3.92,5.88,0,1.96,3.92,0,0,9.8,0,3.92,0,417.43,0,5.88,3.92,0,1.96,0,5.88,0,0,17.64,9.8,7.84,43.12,0,0
