stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,20.52,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,24.98,0.81,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0.57,0,1.15,0,0,0,20.08,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,18.65,0.98,0,0,0,0
 72-82,0,0,0.98,0,2.94,4.91,0.98,0,9.82,0,1.96,0,0,0,0,0,0.98,0,0,0.98,0,1.96,0,34.36,1.96,0,0,0.98,0
 84-94,0,0,0,0,8.5,0,1.06,0,18.05,0,1.06,1.06,0,1.06,0,0,1.06,0,0,7.43,0,1.06,0,59.47,5.31,1.06,1.06,1.06,0
 96-106,0,0,1.09,2.19,19.67,2.19,2.19,2.19,46.99,0,2.19,1.09,0,0,3.28,0,4.37,1.09,0,18.58,0,3.28,0,96.17,3.28,1.09,1.09,1.09,1.09
108-118,0,0,0.77,0.77,18.38,0,3.06,0.77,67.4,0,0.77,2.3,0.77,0.77,2.3,0.77,3.06,0.77,0,6.13,0,1.53,0.77,67.4,4.6,0,6.13,0,0
120,3.92,0,0,0,11.76,0,0,0,48.99,0,3.92,1.96,0,1.96,1.96,0,0,0,1.96,13.72,0,1.96,0,86.23,5.88,0,0,0,0
