stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18,0,0,1,0,0,3,0,0,3,6,0,0,0,0,0
 24-34,0,0.82,0,4.93,0,0,0,0,0,0.82,0,0,0,0,2.46,0,0,2.46,18.88,0,0,0,0,0,0,0.82,0.82,0,5.75,0,0,0.82,0,0
 36-46,0,0,0,1.61,0.81,0,0.81,0,0.81,0.81,0,0,0,0,1.61,0,0.81,0.81,32.23,0.81,1.61,0,0,0,0,0,0,0,7.25,0,0,0,0,0.81
 48-58,0.57,0,0,7.46,0,0,1.72,0,1.15,0.57,0,0.57,0.57,0,3.44,0,0,0,29.84,1.15,0,0,0,0,0,0,0,0,4.02,0,0,0.57,0,0
 60-70,0,0,0.98,6.87,0.98,0.98,4.91,0,0,1.96,0.98,0,0,0,7.85,0.98,0,0,22.58,1.96,0.98,0,0.98,0,0,0,0,0,1.96,0,0,0,0.98,0
 72-82,0.98,0.98,0.98,8.83,0.98,0.98,8.83,5.89,0.98,1.96,0,0,0,0,15.71,0,0.98,0.98,23.56,1.96,0.98,0,0,1.96,0,0,0,0,3.93,0,0.98,1.96,0,0
 84-94,0,5.31,0,4.25,0,0,2.12,8.5,0,6.37,0,0,0,0,4.25,1.06,1.06,2.12,10.62,0,1.06,0,0,1.06,0,0,0,0,2.12,1.06,0,0,0,1.06
 96-106,2.19,5.46,2.19,6.56,0,1.09,8.74,12.02,0,6.56,0,0,0,1.09,15.3,0,1.09,1.09,13.11,3.28,1.09,0,1.09,4.37,0,0,0,0,2.19,0,0,1.09,1.09,0
108-118,0,3.83,0,10.72,0.77,1.53,3.06,15.32,2.3,11.49,0,0.77,0,0,4.6,0,0,0,14.55,0,0,0,0,3.06,0,0,0,0,1.53,0,0,2.3,0,0.77
120,1.96,1.96,0,11.76,0,1.96,3.92,13.72,1.96,9.8,0,0,0,0,5.88,0,0,0,13.72,0,1.96,0,0,5.88,0,0,0,0,1.96,0,1.96,3.92,0,0
