stage,axial,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,7,0,0,0,0,0,0,0,0,8,1,1,0,0,0,19,0
 24-34,0,0.82,0,4.1,0,0,0,0,0,0,0,0,12.31,0,0,0,0,2.46,9.03,0.82
 36-46,0,0,0,5.64,0,0,0,0,0,0,0,0,20.14,6.45,0,0,0,0.81,10.47,0.81
 48-58,0,0,1.72,7.46,0,0,0,0,0,0,0,0.57,13.77,5.74,0,0,0.57,0.57,6.31,0
 60-70,0,0,2.94,17.67,0,0,0,0,0,0,0,0,16.69,4.91,1.96,0,0,0,7.85,0
 72-82,0,0,4.91,32.39,0,0,0,0.98,0.98,0,0,0,27.49,10.8,0.98,0,0,0.98,8.83,0
 84-94,0,1.06,3.19,18.05,0,0,0,0,2.12,2.12,1.06,0,15.93,6.37,6.37,0,1.06,1.06,4.25,0
 96-106,0,0,6.56,27.32,0,0,0,0,4.37,2.19,0,0,15.3,8.74,9.84,0,0,0,4.37,0
108-118,0,1.53,1.53,19.92,0,0,0.77,0,3.83,0,0,0,25.28,6.89,10.72,0,0,0.77,3.83,0
120,0,0,3.92,15.68,1.96,0,0,0,3.92,0,0,0,23.52,9.8,7.84,0,0,1.96,3.92,0
