stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,0,0,0,0,1,1,2,5,0,0,0,0
 24-34,0,0,0,0,6.57,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,18.88,1.64,0,0,2.46,0,0,0,5.75,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,3.22,0,0,0,0,0,0,0,4.03,0,0,0,29,1.61,0,0,1.61,0,0,0,12.89,0,0,0,0.81
 48-58,0,0,1.15,0,5.74,0.57,0,4.02,0,0.57,0,0,0,0,0.57,4.59,0.57,0,1.15,32.13,0,0.57,0,1.72,0,0,0,6.89,0,0.57,0,1.15
 60-70,0,0,0,0,24.54,0,0.98,3.93,0,0,0.98,0,0,0.98,0,4.91,0,0,0,52.02,0,0,0,2.94,0,0,0,7.85,0,0.98,0,0
 72-82,0,0,0,0,56.94,0,0,13.74,0,0,0,0.98,0,0,0,5.89,0,0,0,56.94,4.91,0,0,5.89,0,0,0,3.93,0,1.96,0,0.98
 84-94,0,0,0,0,44.61,0,0,8.5,1.06,0,0,2.12,0,0,0,2.12,0,0,1.06,36.11,1.06,0,0,9.56,0,0,0,5.31,1.06,0,1.06,0
 96-106,0,0,0,2.19,28.41,0,0,4.37,0,0,0,1.09,0,0,0,2.19,0,0,0,33.88,3.28,1.09,0,1.09,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,29.11,0,0,4.6,0,0,0,0,0.77,0,0,3.06,0,0.77,0,24.51,2.3,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,33.32,0,0,11.76,0,0,0,3.92,0,1.96,0,3.92,1.96,0,0,25.48,1.96,0,1.96,0,0,0,0,1.96,0,1.96,0,0
