stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,6,0,0,0,1,15,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,21.34,0,17.24,9.03,0,0,2.46,0,33.66,0,0,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.42,0,0.81,14.5,0,13.7,3.22,0,0,0,0,30.62,0,0,0
 48-58,0,0,0,0,0,0,2.87,0.57,1.15,0,0,0,0,0,0,1.15,0,0,17.21,0,5.74,4.02,0,0,0.57,0,7.46,0,0,0
 60-70,0,0,0,0,0,0,10.8,0,0.98,0,0,1.96,2.94,0,0.98,0.98,0,0,18.65,0,4.91,6.87,0,0,0,0,5.89,0,0,0
 72-82,0,0.98,0,0,0,0,11.78,0,7.85,0.98,0,0.98,2.94,0,0,0.98,0.98,0,19.63,0,5.89,18.65,0,0.98,0.98,0,2.94,0,0.98,0
 84-94,0,1.06,0,0,1.06,0,7.43,0,1.06,0,1.06,1.06,4.25,0,0,2.12,2.12,0,16.99,0,6.37,38.23,0,0,2.12,0,3.19,1.06,0,1.06
 96-106,0,0,0,2.19,0,0,9.84,0,1.09,0,0,1.09,7.65,1.09,0,1.09,0,0,12.02,0,13.11,29.51,0,0,0,0,2.19,0,0,1.09
108-118,0,1.53,0,0,0.77,0.77,7.66,0,3.83,0,0,1.53,7.66,0,0,0.77,0.77,0,16.09,0,9.96,18.38,0,0,2.3,0,1.53,0,0.77,0
120,0,0,0,3.92,1.96,0,3.92,0,7.84,0,0,0,3.92,0,0,1.96,3.92,0,17.64,0,7.84,27.44,0,0,5.88,0,3.92,0,0,0
