stage,blastomeres,endoderm,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,23.66,0,0,13.14,0,0,0
 10-12,0,0,3.15,0,0,0,18.88,0,0,18.88,3.15,0,0
 14-21,0,0,0,1,0,0,4,0,0,0,0,1,7
 24-34,0,0,1.64,0.82,0,0,2.46,0.82,0,0,0,0,5.75
 36-46,0,0,1.61,0.81,0,1.61,0.81,1.61,0,0,0,0.81,1.61
 48-58,0,0,0,3.44,0,0,1.72,1.15,0,0,0,0,1.72
 60-70,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,2.94
 72-82,0,0,1.96,2.94,0,0,1.96,0.98,1.96,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,4.37,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,2.3,0.77,1.53,0.77,0,0,0,0,0
120,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0
