stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,18.4,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,226.58,3.15,0,0,56.65,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,20,28,0,8,1,0,3,2,1,1,0,0,0,1,0,9,0,0,6,63,4,1,2,1,0,6,1,1,5,2,5,37,0,0,15,0,0
 24-34,0,0,0.82,0,7.39,4.93,0,18.06,1.64,0,7.39,0,1.64,3.28,5.75,0.82,0,0.82,0.82,23.8,0.82,0,9.03,161.71,0,5.75,2.46,0,0.82,25.45,0,0,0,0,4.1,35.3,0,0,63.21,0,1.64
 36-46,0,0,0,0,1.61,0,0,37.06,0,4.83,8.06,0,1.61,2.42,1.61,0,0.81,0,0.81,37.06,0,0,2.42,168.38,1.61,4.83,1.61,0,0.81,10.47,0,0,0.81,0,0,41.09,0,0,23.36,0,0.81
 48-58,0,0,0,0.57,4.02,0,0,68.28,1.15,1.15,22.38,0,2.3,2.3,0,0.57,1.72,0,0.57,28.12,1.15,0,2.87,161.81,0,2.3,1.72,0,0,6.89,0,0,0,0,0,29.26,0,0,24.67,0,1.72
 60-70,0,0,0,0,4.91,1.96,0,160.97,0.98,1.96,24.54,0,0.98,3.93,0,0.98,0.98,0,0,53,0.98,1.96,1.96,150.17,0,3.93,1.96,0,0.98,16.69,0,0,0,0,0,21.59,0,2.94,16.69,0,5.89
 72-82,0,0,5.89,0,11.78,25.52,0,194.37,0,5.89,45.16,2.94,0,4.91,0,2.94,0.98,0,0,94.24,0.98,0.98,6.87,200.26,0,9.82,5.89,0,1.96,7.85,0,0,0,0,0,17.67,1.96,1.96,48.1,0.98,3.93
 84-94,0,0,1.06,0,8.5,16.99,0,133.82,1.06,1.06,26.55,3.19,0,11.68,4.25,1.06,6.37,0,1.06,59.47,1.06,1.06,2.12,94.52,0,5.31,11.68,0,1.06,22.3,0,0,0,0,0,11.68,1.06,1.06,39.3,0,0
 96-106,0,0,0,0,14.21,17.49,0,137.7,3.28,3.28,34.97,3.28,4.37,26.23,8.74,3.28,9.84,1.09,3.28,55.74,0,0,3.28,103.82,0,12.02,15.3,0,2.19,26.23,0,0,0,0,0,7.65,3.28,0,50.27,1.09,2.19
108-118,0,0,1.53,0.77,14.55,10.72,0.77,117.19,5.36,3.83,16.09,3.83,2.3,16.85,3.83,4.6,3.83,0.77,0.77,48.26,0.77,0.77,2.3,122.55,0.77,6.13,13.02,0,0,17.62,0,0,0.77,0,0,5.36,1.53,1.53,45.19,0.77,3.83
120,0,0,0,0,17.64,23.52,1.96,78.39,1.96,0,17.64,1.96,0,9.8,1.96,1.96,5.88,0,0,35.28,5.88,3.92,5.88,94.07,0,1.96,3.92,0,0,25.48,0,0,0,0,0,7.84,0,1.96,27.44,1.96,0
