stage,blastomeres,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,pgc,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,2.63,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,2,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0.82,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,7.25,0,0
 48-58,0,0,0.57,0,0,0,0,5.74,0,0.57
 60-70,0,0,0.98,0,0.98,0,0,1.96,0,0
 72-82,0,0.98,0.98,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,0,1.09,0,0,0,1.09,0,0
108-118,0,1.53,0.77,0,0,0,0,0,0,0
